face_index,ground_truth_id,ground_truth_label,A_pred,A_confidence,A_pStock,A_pThread,A_pText,B_pred,B_confidence,B_pStock,B_pThread,B_pText,C_pred,C_confidence,C_pStock,C_pThread,C_pText,D_pred,D_confidence,D_pStock,D_pThread,D_pText,FrozenLast_pred,FrozenLast_confidence,FrozenLast_pStock,FrozenLast_pThread,FrozenLast_pText,FrozenBestV3_pred,FrozenBestV3_confidence,FrozenBestV3_pStock,FrozenBestV3_pThread,FrozenBestV3_pText,Scratch70K_pred,Scratch70K_confidence,Scratch70K_pStock,Scratch70K_pThread,Scratch70K_pText
0,2,Text,Text,0.99874783,0.00123832,0.00001387,0.99874783,Text,0.99817121,0.00174911,0.00007969,0.99817121,Text,0.99935538,0.00064329,0.00000132,0.99935538,Text,0.99740404,0.00258395,0.00001195,0.99740404,Text,0.99960750,0.00039059,0.00000188,0.99960750,Text,0.99917334,0.00082223,0.00000434,0.99917334,Text,0.99997246,0.00002729,0.00000020,0.99997246
1,2,Text,Text,0.99874097,0.00122933,0.00002973,0.99874097,Text,0.99992466,0.00007470,0.00000059,0.99992466,Text,0.99968362,0.00031618,0.00000023,0.99968362,Text,0.99857116,0.00140005,0.00002878,0.99857116,Text,0.99966919,0.00032758,0.00000326,0.99966919,Text,0.99955374,0.00044110,0.00000509,0.99955374,Text,0.99986112,0.00013880,0.00000005,0.99986112
2,2,Text,Text,0.99941993,0.00054812,0.00003200,0.99941993,Text,0.99035102,0.00942697,0.00022199,0.99035102,Text,0.99642098,0.00357722,0.00000182,0.99642098,Text,0.99665785,0.00330615,0.00003601,0.99665785,Text,0.99976474,0.00023181,0.00000345,0.99976474,Text,0.99960512,0.00038786,0.00000708,0.99960512,Text,0.99956840,0.00042808,0.00000351,0.99956840
3,2,Text,Text,0.99874747,0.00123864,0.00001388,0.99874747,Text,0.99978453,0.00019437,0.00002108,0.99978453,Text,0.99924433,0.00075323,0.00000243,0.99924433,Text,0.99748212,0.00250644,0.00001144,0.99748212,Text,0.99964666,0.00035193,0.00000139,0.99964666,Text,0.99937797,0.00061913,0.00000290,0.99937797,Text,0.99997270,0.00002711,0.00000020,0.99997270
4,2,Text,Text,0.99923360,0.00074592,0.00002050,0.99923360,Text,0.99972826,0.00025628,0.00001544,0.99972826,Text,0.99973875,0.00026081,0.00000041,0.99973875,Text,0.99503988,0.00493735,0.00002278,0.99503988,Text,0.99969018,0.00030488,0.00000502,0.99969018,Text,0.99956793,0.00042447,0.00000760,0.99956793,Text,0.99991918,0.00008023,0.00000063,0.99991918
5,2,Text,Text,0.99939978,0.00051962,0.00008061,0.99939978,Text,0.99963379,0.00028923,0.00007696,0.99963379,Text,0.99929678,0.00070028,0.00000296,0.99929678,Text,0.99893290,0.00100080,0.00006633,0.99893290,Text,0.99975449,0.00023116,0.00001439,0.99975449,Text,0.99965298,0.00032527,0.00002178,0.99965298,Text,0.99998569,0.00001410,0.00000015,0.99998569
6,2,Text,Text,0.99916399,0.00081652,0.00001948,0.99916399,Text,0.99987090,0.00011090,0.00001824,0.99987090,Text,0.99991322,0.00008657,0.00000016,0.99991322,Text,0.99822754,0.00174914,0.00002329,0.99822754,Text,0.99985683,0.00014001,0.00000318,0.99985683,Text,0.99976403,0.00022967,0.00000628,0.99976403,Text,0.99998820,0.00001163,0.00000021,0.99998820
7,2,Text,Text,0.99924880,0.00064143,0.00010977,0.99924880,Text,0.99959010,0.00033336,0.00007654,0.99959010,Text,0.99958879,0.00040922,0.00000197,0.99958879,Text,0.99875915,0.00115490,0.00008599,0.99875915,Text,0.99974853,0.00023459,0.00001686,0.99974853,Text,0.99960238,0.00037253,0.00002507,0.99960238,Text,0.99999344,0.00000648,0.00000011,0.99999344
8,2,Text,Text,0.99928951,0.00060901,0.00010148,0.99928951,Text,0.99962127,0.00030981,0.00006888,0.99962127,Text,0.99952686,0.00047143,0.00000176,0.99952686,Text,0.99875998,0.00115408,0.00008594,0.99875998,Text,0.99974853,0.00023459,0.00001686,0.99974853,Text,0.99960250,0.00037246,0.00002507,0.99960250,Text,0.99999249,0.00000734,0.00000019,0.99999249
9,2,Text,Text,0.99916744,0.00081305,0.00001954,0.99916744,Text,0.99936754,0.00057535,0.00005717,0.99936754,Text,0.99989617,0.00010366,0.00000016,0.99989617,Text,0.99823439,0.00172012,0.00004544,0.99823439,Text,0.99980050,0.00019383,0.00000568,0.99980050,Text,0.99969852,0.00029144,0.00001011,0.99969852,Text,0.99999011,0.00000979,0.00000014,0.99999011
