face_index,reference_original_class,corrected_ground_truth,known_original_error,model_A_class,model_A_confidence,model_A_prob_stock,model_A_prob_thread,model_A_prob_text,model_A_correct,model_B_class,model_B_confidence,model_B_prob_stock,model_B_prob_thread,model_B_prob_text,model_B_correct,model_C_class,model_C_confidence,model_C_prob_stock,model_C_prob_thread,model_C_prob_text,model_C_correct
0,Text,Text,0,Text,0.99874783,0.00123832,0.00001387,0.99874783,1,Text,0.99817121,0.00174911,0.00007969,0.99817121,1,Text,0.99935538,0.00064329,0.00000132,0.99935538,1
1,Text,Text,0,Text,0.99874097,0.00122933,0.00002973,0.99874097,1,Text,0.99992466,0.00007470,0.00000059,0.99992466,1,Text,0.99968362,0.00031618,0.00000023,0.99968362,1
2,Text,Text,0,Text,0.99941993,0.00054812,0.00003200,0.99941993,1,Text,0.99035102,0.00942697,0.00022199,0.99035102,1,Text,0.99642098,0.00357722,0.00000182,0.99642098,1
3,Text,Text,0,Text,0.99874747,0.00123864,0.00001388,0.99874747,1,Text,0.99978453,0.00019437,0.00002108,0.99978453,1,Text,0.99924433,0.00075323,0.00000243,0.99924433,1
4,Text,Text,0,Text,0.99923360,0.00074592,0.00002050,0.99923360,1,Text,0.99972826,0.00025628,0.00001544,0.99972826,1,Text,0.99973875,0.00026081,0.00000041,0.99973875,1
5,Text,Text,0,Text,0.99939978,0.00051962,0.00008061,0.99939978,1,Text,0.99963379,0.00028923,0.00007696,0.99963379,1,Text,0.99929678,0.00070028,0.00000296,0.99929678,1
6,Text,Text,0,Text,0.99916399,0.00081652,0.00001948,0.99916399,1,Text,0.99987090,0.00011090,0.00001824,0.99987090,1,Text,0.99991322,0.00008657,0.00000016,0.99991322,1
7,Text,Text,0,Text,0.99924880,0.00064143,0.00010977,0.99924880,1,Text,0.99959010,0.00033336,0.00007654,0.99959010,1,Text,0.99958879,0.00040922,0.00000197,0.99958879,1
8,Text,Text,0,Text,0.99928951,0.00060901,0.00010148,0.99928951,1,Text,0.99962127,0.00030981,0.00006888,0.99962127,1,Text,0.99952686,0.00047143,0.00000176,0.99952686,1
9,Text,Text,0,Text,0.99916744,0.00081305,0.00001954,0.99916744,1,Text,0.99936754,0.00057535,0.00005717,0.99936754,1,Text,0.99989617,0.00010366,0.00000016,0.99989617,1
10,Text,Text,0,Text,0.99937207,0.00054712,0.00008085,0.99937207,1,Text,0.99932325,0.00062023,0.00005658,0.99932325,1,Text,0.99900562,0.00099311,0.00000134,0.99900562,1
11,Text,Text,0,Text,0.99852979,0.00145700,0.00001314,0.99852979,1,Text,0.99703997,0.00292666,0.00003339,0.99703997,1,Text,0.99973232,0.00026756,0.00000008,0.99973232,1
12,Text,Text,0,Text,0.99749374,0.00248331,0.00002301,0.99749374,1,Stock,0.81634891,0.81634891,0.03697543,0.14667565,0,Text,0.90390015,0.09584272,0.00025712,0.90390015,1
13,Text,Text,0,Text,0.97309744,0.02677236,0.00013013,0.97309744,1,Stock,0.97319847,0.97319847,0.00013458,0.02666689,0,Text,0.93734640,0.06263674,0.00001690,0.93734640,1
14,Text,Text,0,Text,0.99760866,0.00234492,0.00004636,0.99760866,1,Stock,0.82785416,0.82785416,0.03703242,0.13511346,0,Text,0.81977993,0.18001005,0.00021006,0.81977993,1
15,Text,Text,0,Text,0.99740356,0.00257950,0.00001696,0.99740356,1,Stock,0.64495265,0.64495265,0.10913032,0.24591693,0,Text,0.90593332,0.09371926,0.00034747,0.90593332,1
16,Text,Text,0,Text,0.99733377,0.00262973,0.00003649,0.99733377,1,Text,0.48972812,0.46928740,0.04098453,0.48972812,1,Text,0.94580430,0.05415553,0.00004016,0.94580430,1
17,Text,Text,0,Text,0.99674052,0.00324828,0.00001116,0.99674052,1,Stock,0.55147725,0.55147725,0.02560884,0.42291394,0,Text,0.94098061,0.05889343,0.00012598,0.94098061,1
18,Text,Text,0,Text,0.99715221,0.00282110,0.00002671,0.99715221,1,Stock,0.92996985,0.92996985,0.00365495,0.06637518,0,Text,0.91454411,0.08539500,0.00006094,0.91454411,1
19,Stock,Stock,0,Stock,0.90152317,0.90152317,0.00009415,0.09838276,1,Stock,0.99960428,0.99960428,0.00000139,0.00039436,1,Stock,0.99989319,0.99989319,0.00000029,0.00010660,1
20,Text,Text,0,Text,0.99835014,0.00150089,0.00014894,0.99835014,1,Text,0.99982554,0.00013511,0.00003942,0.99982554,1,Text,0.99985373,0.00014589,0.00000038,0.99985373,1
21,Text,Text,0,Text,0.99832302,0.00152724,0.00014972,0.99832302,1,Text,0.99982280,0.00013718,0.00004006,0.99982280,1,Text,0.99985850,0.00014108,0.00000036,0.99985850,1
22,Text,Text,0,Text,0.99889272,0.00099293,0.00011431,0.99889272,1,Text,0.99975413,0.00021844,0.00002743,0.99975413,1,Text,0.99995661,0.00004338,0.00000004,0.99995661,1
23,Text,Text,0,Text,0.99895144,0.00102872,0.00001980,0.99895144,1,Text,0.99995792,0.00004163,0.00000043,0.99995792,1,Text,0.99970847,0.00029133,0.00000018,0.99970847,1
24,Text,Text,0,Text,0.99937683,0.00054398,0.00007923,0.99937683,1,Text,0.99957091,0.00039317,0.00003597,0.99957091,1,Text,0.99932826,0.00067132,0.00000050,0.99932826,1
25,Text,Text,0,Text,0.99934286,0.00059346,0.00006365,0.99934286,1,Text,0.99970347,0.00026811,0.00002836,0.99970347,1,Text,0.99978334,0.00021610,0.00000055,0.99978334,1
26,Text,Text,0,Text,0.99937683,0.00054393,0.00007924,0.99937683,1,Text,0.99956173,0.00040006,0.00003817,0.99956173,1,Text,0.99936491,0.00063456,0.00000052,0.99936491,1
27,Text,Text,0,Text,0.99934238,0.00059833,0.00005929,0.99934238,1,Text,0.99936956,0.00058539,0.00004508,0.99936956,1,Text,0.99978858,0.00021098,0.00000047,0.99978858,1
28,Text,Text,0,Text,0.99937695,0.00054384,0.00007926,0.99937695,1,Text,0.99972516,0.00025263,0.00002223,0.99972516,1,Text,0.99921036,0.00078877,0.00000080,0.99921036,1
29,Text,Text,0,Text,0.99933928,0.00059899,0.00006168,0.99933928,1,Text,0.99960893,0.00037155,0.00001958,0.99960893,1,Text,0.99974412,0.00025521,0.00000064,0.99974412,1
30,Text,Text,0,Text,0.99937683,0.00054398,0.00007923,0.99937683,1,Text,0.99972516,0.00025257,0.00002222,0.99972516,1,Text,0.99922287,0.00077622,0.00000090,0.99922287,1
31,Text,Text,0,Text,0.99933821,0.00060411,0.00005768,0.99933821,1,Text,0.99936944,0.00058546,0.00004509,0.99936944,1,Text,0.99977785,0.00022156,0.00000054,0.99977785,1
32,Text,Text,0,Text,0.99900502,0.00096633,0.00002863,0.99900502,1,Text,0.99629116,0.00327693,0.00043194,0.99629116,1,Text,0.99977714,0.00022207,0.00000076,0.99977714,1
33,Text,Text,0,Text,0.99655116,0.00342463,0.00002425,0.99655116,1,Text,0.99516428,0.00480809,0.00002762,0.99516428,1,Text,0.99895883,0.00104081,0.00000032,0.99895883,1
34,Text,Text,0,Text,0.99910128,0.00077987,0.00011885,0.99910128,1,Text,0.99745053,0.00221986,0.00032953,0.99745053,1,Text,0.99797803,0.00201652,0.00000551,0.99797803,1
35,Text,Text,0,Text,0.99902034,0.00095220,0.00002750,0.99902034,1,Text,0.99528652,0.00423647,0.00047699,0.99528652,1,Text,0.99959165,0.00040707,0.00000134,0.99959165,1
36,Text,Text,0,Text,0.99927956,0.00060362,0.00011680,0.99927956,1,Text,0.99719256,0.00251995,0.00028750,0.99719256,1,Text,0.99676043,0.00322892,0.00001063,0.99676043,1
37,Text,Text,0,Text,0.99901867,0.00095592,0.00002536,0.99901867,1,Text,0.99629337,0.00327489,0.00043171,0.99629337,1,Text,0.99982005,0.00017926,0.00000066,0.99982005,1
38,Text,Text,0,Text,0.99928004,0.00060311,0.00011684,0.99928004,1,Text,0.99825090,0.00155718,0.00019192,0.99825090,1,Text,0.99958068,0.00041631,0.00000302,0.99958068,1
39,Text,Text,0,Text,0.99925071,0.00063245,0.00011681,0.99925071,1,Text,0.99853778,0.00128418,0.00017803,0.99853778,1,Text,0.99924362,0.00075027,0.00000612,0.99924362,1
40,Text,Text,0,Text,0.99939299,0.00052685,0.00008011,0.99939299,1,Text,0.99989438,0.00008283,0.00002278,0.99989438,1,Text,0.99877089,0.00122531,0.00000376,0.99877089,1
41,Text,Text,0,Text,0.99893135,0.00104543,0.00002326,0.99893135,1,Text,0.99996006,0.00003928,0.00000071,0.99996006,1,Text,0.99883896,0.00116068,0.00000037,0.99883896,1
42,Text,Text,0,Text,0.99930227,0.00067416,0.00002352,0.99930227,1,Text,0.99952173,0.00044681,0.00003146,0.99952173,1,Text,0.99927646,0.00072324,0.00000025,0.99927646,1
43,Text,Text,0,Text,0.99902463,0.00096087,0.00001454,0.99902463,1,Text,0.99982917,0.00015579,0.00001500,0.99982917,1,Text,0.99966931,0.00032917,0.00000154,0.99966931,1
44,Text,Text,0,Text,0.99929237,0.00066279,0.00004477,0.99929237,1,Text,0.99979573,0.00018190,0.00002239,0.99979573,1,Text,0.99892777,0.00106849,0.00000370,0.99892777,1
