face_index,reference_original_class,corrected_ground_truth,known_original_error,model_A_class,model_A_confidence,model_A_prob_stock,model_A_prob_thread,model_A_prob_text,model_A_correct,model_B_class,model_B_confidence,model_B_prob_stock,model_B_prob_thread,model_B_prob_text,model_B_correct,model_C_class,model_C_confidence,model_C_prob_stock,model_C_prob_thread,model_C_prob_text,model_C_correct,model_D_class,model_D_confidence,model_D_prob_stock,model_D_prob_thread,model_D_prob_text,model_D_correct
0,Text,Text,0,Text,0.99874783,0.00123832,0.00001387,0.99874783,1,Text,0.99817121,0.00174911,0.00007969,0.99817121,1,Text,0.99935538,0.00064329,0.00000132,0.99935538,1,Text,0.99740404,0.00258395,0.00001195,0.99740404,1
1,Text,Text,0,Text,0.99874097,0.00122933,0.00002973,0.99874097,1,Text,0.99992466,0.00007470,0.00000059,0.99992466,1,Text,0.99968362,0.00031618,0.00000023,0.99968362,1,Text,0.99857116,0.00140005,0.00002878,0.99857116,1
2,Text,Text,0,Text,0.99941993,0.00054812,0.00003200,0.99941993,1,Text,0.99035102,0.00942697,0.00022199,0.99035102,1,Text,0.99642098,0.00357722,0.00000182,0.99642098,1,Text,0.99665785,0.00330615,0.00003601,0.99665785,1
3,Text,Text,0,Text,0.99874747,0.00123864,0.00001388,0.99874747,1,Text,0.99978453,0.00019437,0.00002108,0.99978453,1,Text,0.99924433,0.00075323,0.00000243,0.99924433,1,Text,0.99748212,0.00250644,0.00001144,0.99748212,1
4,Text,Text,0,Text,0.99923360,0.00074592,0.00002050,0.99923360,1,Text,0.99972826,0.00025628,0.00001544,0.99972826,1,Text,0.99973875,0.00026081,0.00000041,0.99973875,1,Text,0.99503988,0.00493735,0.00002278,0.99503988,1
5,Text,Text,0,Text,0.99939978,0.00051962,0.00008061,0.99939978,1,Text,0.99963379,0.00028923,0.00007696,0.99963379,1,Text,0.99929678,0.00070028,0.00000296,0.99929678,1,Text,0.99893290,0.00100080,0.00006633,0.99893290,1
6,Text,Text,0,Text,0.99916399,0.00081652,0.00001948,0.99916399,1,Text,0.99987090,0.00011090,0.00001824,0.99987090,1,Text,0.99991322,0.00008657,0.00000016,0.99991322,1,Text,0.99822754,0.00174914,0.00002329,0.99822754,1
7,Text,Text,0,Text,0.99924880,0.00064143,0.00010977,0.99924880,1,Text,0.99959010,0.00033336,0.00007654,0.99959010,1,Text,0.99958879,0.00040922,0.00000197,0.99958879,1,Text,0.99875915,0.00115490,0.00008599,0.99875915,1
8,Text,Text,0,Text,0.99928951,0.00060901,0.00010148,0.99928951,1,Text,0.99962127,0.00030981,0.00006888,0.99962127,1,Text,0.99952686,0.00047143,0.00000176,0.99952686,1,Text,0.99875998,0.00115408,0.00008594,0.99875998,1
9,Text,Text,0,Text,0.99916744,0.00081305,0.00001954,0.99916744,1,Text,0.99936754,0.00057535,0.00005717,0.99936754,1,Text,0.99989617,0.00010366,0.00000016,0.99989617,1,Text,0.99823439,0.00172012,0.00004544,0.99823439,1
10,Text,Text,0,Text,0.99937207,0.00054712,0.00008085,0.99937207,1,Text,0.99932325,0.00062023,0.00005658,0.99932325,1,Text,0.99900562,0.00099311,0.00000134,0.99900562,1,Text,0.99894291,0.00099163,0.00006546,0.99894291,1
11,Text,Text,0,Text,0.99852979,0.00145700,0.00001314,0.99852979,1,Text,0.99703997,0.00292666,0.00003339,0.99703997,1,Text,0.99973232,0.00026756,0.00000008,0.99973232,1,Text,0.99522877,0.00474861,0.00002268,0.99522877,1
12,Text,Text,0,Text,0.99749374,0.00248331,0.00002301,0.99749374,1,Stock,0.81634891,0.81634891,0.03697543,0.14667565,0,Text,0.90390015,0.09584272,0.00025712,0.90390015,1,Text,0.99124312,0.00875138,0.00000555,0.99124312,1
13,Text,Text,0,Text,0.97309744,0.02677236,0.00013013,0.97309744,1,Stock,0.97319847,0.97319847,0.00013458,0.02666689,0,Text,0.93734640,0.06263674,0.00001690,0.93734640,1,Text,0.86022812,0.13949797,0.00027398,0.86022812,1
14,Text,Text,0,Text,0.99760866,0.00234492,0.00004636,0.99760866,1,Stock,0.82785416,0.82785416,0.03703242,0.13511346,0,Text,0.81977993,0.18001005,0.00021006,0.81977993,1,Text,0.97989845,0.02005686,0.00004466,0.97989845,1
15,Text,Text,0,Text,0.99740356,0.00257950,0.00001696,0.99740356,1,Stock,0.64495265,0.64495265,0.10913032,0.24591693,0,Text,0.90593332,0.09371926,0.00034747,0.90593332,1,Text,0.99022663,0.00976766,0.00000574,0.99022663,1
16,Text,Text,0,Text,0.99733377,0.00262973,0.00003649,0.99733377,1,Text,0.48972812,0.46928740,0.04098453,0.48972812,1,Text,0.94580430,0.05415553,0.00004016,0.94580430,1,Text,0.98310983,0.01687060,0.00001958,0.98310983,1
17,Text,Text,0,Text,0.99674052,0.00324828,0.00001116,0.99674052,1,Stock,0.55147725,0.55147725,0.02560884,0.42291394,0,Text,0.94098061,0.05889343,0.00012598,0.94098061,1,Text,0.99038613,0.00960771,0.00000614,0.99038613,1
