"Face","OldWrongClass","OldPrediction","OldProbability","NewPrediction","NewProbability","CorrectedToStock"
"99","text","stock","0.9507034421","stock","0.9999130368","True"
"100","text","stock","0.9036460519","stock","0.9994363785","True"
"102","text","stock","0.5081772804","stock","0.9984866381","True"
"103","text","stock","0.9509288073","stock","0.9998692274","True"
"104","text","stock","0.967756629","stock","0.9998642802","True"
"107","text","stock","1","stock","0.9999554157","True"
"366","thread","stock","0.9963650107","stock","0.8717956543","True"
"367","thread","stock","0.9993889332","stock","0.963580668","True"
"368","thread","stock","0.9997771382","stock","0.9925806522","True"
"371","thread","stock","0.9999594688","stock","0.9971851707","True"
"372","thread","stock","0.9997558594","stock","0.9992119074","True"
"498","text","stock","1","stock","0.999976635","True"
"500","text","stock","0.7475351691","stock","0.9982854724","True"
