face_index,predicted_class,predicted_class_name,predicted_probability
0,2,text,0.9988836646
1,2,text,0.9983341098
2,2,text,0.9864708185
3,2,text,0.998414278
4,2,text,0.9997174144
5,2,text,0.9985499978
6,2,text,0.9998583198
7,2,text,0.9997498393
8,2,text,0.9997236133
9,2,text,0.9997374415
10,2,text,0.9987360835
11,2,text,0.9972720742
12,2,text,0.9640834928
13,2,text,0.9318051934
14,2,text,0.8451864719
15,2,text,0.9603683352
16,2,text,0.9672442675
17,2,text,0.9732776284
18,2,text,0.8490673304
19,0,stock,0.9997169375
20,2,text,0.9997453094
21,2,text,0.9998131394
22,2,text,0.999951601
23,2,text,0.9995158911
24,2,text,0.9990569353
25,2,text,0.99975425
26,2,text,0.9990448952
27,2,text,0.999709785
28,2,text,0.9989645481
29,2,text,0.9998296499
30,2,text,0.9990411401
31,2,text,0.9997528791
32,2,text,0.9991542101
33,2,text,0.998047173
34,2,text,0.9976788163
35,2,text,0.999067843
36,2,text,0.9972040653
37,2,text,0.999227047
38,2,text,0.9989017844
39,2,text,0.9987210631
40,2,text,0.9986794591
41,2,text,0.9979645014
42,2,text,0.9982581139
43,2,text,0.9993675351
44,2,text,0.9976073503
45,2,text,0.9995222688
46,2,text,0.9992264509
47,2,text,0.9991810322
48,2,text,0.9995316267
49,2,text,0.9995700717
50,2,text,0.9993976951
51,2,text,0.9946286082
52,2,text,0.9983742833
53,2,text,0.9988101721
54,2,text,0.9985798597
55,2,text,0.9960272312
56,2,text,0.9998251796
57,2,text,0.9993269444
58,2,text,0.9996492863
59,2,text,0.9965365529
60,2,text,0.9999313951
61,2,text,0.9995332956
62,2,text,0.999646306
63,2,text,0.9991439581
64,2,text,0.9986073375
65,2,text,0.999843359
66,2,text,0.9997059703
67,2,text,0.9996999502
68,2,text,0.9998726845
69,2,text,0.9997056127
70,2,text,0.9996817708
71,2,text,0.9998726845
72,2,text,0.9994786382
73,2,text,0.9998413324
74,2,text,0.9996516109
75,2,text,0.9995675683
76,2,text,0.9998427629
77,2,text,0.9975643158
78,2,text,0.9928839207
79,2,text,0.9892065525
80,2,text,0.9972162843
81,2,text,0.9860821366
82,2,text,0.9977945089
83,2,text,0.9801962972
84,2,text,0.9998481274
85,0,stock,0.9998283386
86,2,text,0.9999440312
87,2,text,0.9997804165
88,2,text,0.9989461303
89,2,text,0.9995937943
90,2,text,0.999324441
91,2,text,0.9994828105
92,2,text,0.9992488027
93,2,text,0.9991230369
94,2,text,0.9992297888
95,2,text,0.9991245866
96,2,text,0.9992880225
97,2,text,0.9995013475
98,2,text,0.9989808202
99,0,stock,0.9999130368
100,0,stock,0.9994363785
101,0,stock,0.9999845028
102,0,stock,0.9984866381
103,0,stock,0.9998692274
104,0,stock,0.9998642802
105,0,stock,0.9947827458
106,0,stock,0.9999943376
107,0,stock,0.9999554157
108,0,stock,0.5934237242
109,1,thread,0.6399412155
110,1,thread,0.7483081222
111,1,thread,0.6881921887
112,0,stock,0.6747151017
113,1,thread,0.9758089781
114,1,thread,0.9775065184
115,1,thread,0.9834347367
116,1,thread,0.9690390825
117,1,thread,0.977250278
118,1,thread,0.9683172107
119,1,thread,0.9752579331
120,1,thread,0.9834269881
121,1,thread,0.9685466886
122,1,thread,0.9727911949
123,1,thread,0.9761877656
124,1,thread,0.9694475532
125,1,thread,0.9689698219
126,1,thread,0.9761109948
127,1,thread,0.9683158398
128,1,thread,0.9688642621
129,1,thread,0.9752820134
130,1,thread,0.9683109522
131,1,thread,0.9690383077
132,1,thread,0.9772427082
133,1,thread,0.9683160186
134,1,thread,0.9752536416
135,1,thread,0.9818471074
136,1,thread,0.9712439775
137,1,thread,0.9754880667
138,1,thread,0.9823373556
139,1,thread,0.9814825654
140,1,thread,0.9811928272
141,1,thread,0.983435452
142,1,thread,0.9814652801
143,1,thread,0.9752754569
144,1,thread,0.9816769361
145,1,thread,0.9814816713
146,1,thread,0.9746547937
147,1,thread,0.9815374017
148,1,thread,0.981472373
149,1,thread,0.9693248272
150,1,thread,0.9814882278
151,1,thread,0.9813943505
152,1,thread,0.9690412879
153,1,thread,0.9813460112
154,1,thread,0.9806443453
155,1,thread,0.969040215
156,1,thread,0.9803580642
157,1,thread,0.9774839282
158,1,thread,0.969040215
159,1,thread,0.9792348146
160,1,thread,0.9755669832
161,1,thread,0.9690397382
162,1,thread,0.9789434075
163,1,thread,0.9748822451
164,1,thread,0.9690095186
165,1,thread,0.9786531329
166,1,thread,0.9736866355
167,1,thread,0.9678231478
168,1,thread,0.9767698646
169,1,thread,0.9724632502
170,1,thread,0.9642329812
171,1,thread,0.9747690558
172,1,thread,0.9720135331
173,1,thread,0.9621676207
174,1,thread,0.974424839
175,1,thread,0.9719236493
176,1,thread,0.9585535526
177,1,thread,0.9733811021
178,1,thread,0.9719080329
179,1,thread,0.9581947923
180,1,thread,0.9720622897
181,1,thread,0.9719060063
182,1,thread,0.9581546783
183,1,thread,0.9719201922
184,1,thread,0.9719042182
185,1,thread,0.9580078721
186,1,thread,0.9719080329
187,1,thread,0.971889019
188,1,thread,0.9571928382
189,1,thread,0.9719059467
190,1,thread,0.9715265632
191,1,thread,0.8774545789
192,0,stock,0.7200110555
193,1,thread,0.9596965909
194,1,thread,0.9392592311
195,1,thread,0.9328135252
196,1,thread,0.9432678223
197,1,thread,0.938998282
198,1,thread,0.9311270118
199,1,thread,0.9558934569
200,1,thread,0.9410748482
201,1,thread,0.9328599572
202,1,thread,0.9432815909
203,1,thread,0.9397830963
204,1,thread,0.9323154092
205,1,thread,0.956340313
206,1,thread,0.9443258643
207,1,thread,0.9328869581
208,1,thread,0.9449896812
209,1,thread,0.9451580048
210,1,thread,0.9328919053
211,1,thread,0.9464090466
