face_index,predicted_class,predicted_class_name,predicted_probability
0,2,text,0.9999327064
1,2,text,0.9994949102
2,2,text,0.9995746017
3,2,text,0.9999327064
4,2,text,0.9998875856
5,2,text,0.9998103976
6,2,text,0.9999191761
7,2,text,0.9998549223
8,2,text,0.9998482466
9,2,text,0.9999190569
10,2,text,0.9996140003
11,2,text,0.999706924
12,2,text,0.9995955825
13,2,text,0.998931706
14,2,text,0.9980809093
15,2,text,0.9997726083
16,2,text,0.9996983409
17,2,text,0.9998199344
18,2,text,0.9973053336
19,0,stock,0.9994249344
20,2,text,0.9999366999
21,2,text,0.9999366999
22,2,text,0.9999207258
23,2,text,0.9993848801
24,2,text,0.9994403124
25,2,text,0.999884665
26,2,text,0.9994370937
27,2,text,0.9999119043
28,2,text,0.99955374
29,2,text,0.9998025298
30,2,text,0.9994743466
31,2,text,0.9999050498
32,2,text,0.9999364018
33,2,text,0.9995305538
34,2,text,0.9997003675
35,2,text,0.9999363422
36,2,text,0.9997406006
37,2,text,0.9999370575
38,2,text,0.9998258948
39,2,text,0.9998135567
40,2,text,0.9997118711
41,2,text,0.9995296597
42,2,text,0.9998990297
43,2,text,0.9999327064
44,2,text,0.9998428226
45,2,text,0.9997240305
46,2,text,0.9995926023
47,2,text,0.9996278286
48,2,text,0.9997435212
49,2,text,0.9998847842
50,2,text,0.9999327064
51,2,text,0.9998786449
52,2,text,0.999835372
53,2,text,0.99980551
54,2,text,0.9995842576
55,2,text,0.9998940229
56,2,text,0.9999376535
57,2,text,0.9998316169
58,2,text,0.999900341
59,2,text,0.9997166395
60,2,text,0.9999198914
61,2,text,0.9998015761
62,2,text,0.9999389648
63,2,text,0.9997003675
64,2,text,0.9995232821
65,2,text,0.9999004602
66,2,text,0.9997171164
67,2,text,0.9997555614
68,2,text,0.9999176264
69,2,text,0.9997216463
70,2,text,0.9997553229
71,2,text,0.9999163747
72,2,text,0.9997002482
73,2,text,0.9999170899
74,2,text,0.9997016191
75,2,text,0.9997003675
76,2,text,0.9999004602
77,2,text,0.9999243021
78,2,text,0.9995470643
79,2,text,0.9994857907
80,2,text,0.9999012947
81,2,text,0.9998620749
82,2,text,0.9998906255
83,2,text,0.9997003078
84,2,text,0.9999507666
85,0,stock,0.9998868704
86,2,text,0.9999569654
87,2,text,0.9999547005
88,2,text,0.9995353222
89,2,text,0.9999265671
90,2,text,0.9996317625
91,2,text,0.9999098778
92,2,text,0.999669075
93,2,text,0.9995777607
94,2,text,0.99969697
95,2,text,0.9998396039
96,2,text,0.9996514916
97,2,text,0.9998871088
98,2,text,0.9997928739
99,0,stock,0.9507034421
100,0,stock,0.9036460519
101,0,stock,0.9999012947
102,0,stock,0.5081772804
103,0,stock,0.9509288073
104,0,stock,0.967756629
105,2,text,0.6659200191
106,0,stock,0.9999637604
107,0,stock,1
108,0,stock,0.9970788956
109,0,stock,0.9967960715
110,0,stock,0.9850244522
111,0,stock,0.9916946888
112,0,stock,0.9941884875
113,0,stock,0.5112575889
114,0,stock,0.8024514318
115,0,stock,0.7739863396
116,0,stock,0.5846776962
117,0,stock,0.829985857
118,0,stock,0.8506894708
119,0,stock,0.5666775703
120,0,stock,0.7582009435
121,0,stock,0.8253981471
122,1,thread,0.4992804229
123,0,stock,0.7670514584
124,0,stock,0.7615849972
125,0,stock,0.5849815011
126,0,stock,0.8333668709
127,0,stock,0.8526900411
128,0,stock,0.5851500034
129,0,stock,0.8338524103
130,0,stock,0.8593539596
131,0,stock,0.5871671438
132,0,stock,0.8313754797
133,0,stock,0.8580858707
134,0,stock,0.5293716192
135,0,stock,0.7145894766
136,0,stock,0.7993175983
137,1,thread,0.5203688145
138,0,stock,0.6610400081
139,0,stock,0.7741330266
140,1,thread,0.6088048816
141,0,stock,0.5689235926
142,0,stock,0.7275444269
143,1,thread,0.5157449841
144,0,stock,0.7011445165
145,0,stock,0.775585413
146,1,thread,0.5150720477
147,0,stock,0.7118047476
148,0,stock,0.7766261697
149,1,thread,0.5143025517
150,0,stock,0.7237055898
151,0,stock,0.7766771317
152,1,thread,0.5135185719
153,0,stock,0.7405292988
154,0,stock,0.7767383456
155,1,thread,0.512155056
156,0,stock,0.7539508939
157,0,stock,0.7770192623
158,1,thread,0.510874331
159,0,stock,0.7592148781
160,0,stock,0.7779467702
161,1,thread,0.5078268051
162,0,stock,0.7609706521
163,0,stock,0.7809839249
164,1,thread,0.5017850995
165,0,stock,0.7615841627
166,0,stock,0.7894967794
167,0,stock,0.504552722
168,0,stock,0.7627347112
169,0,stock,0.8059078455
170,0,stock,0.5145634413
171,0,stock,0.7673842907
172,0,stock,0.8208244443
173,0,stock,0.5235475302
174,0,stock,0.7814283967
175,0,stock,0.8376275897
176,0,stock,0.5313198566
177,0,stock,0.7985363007
178,0,stock,0.851316154
179,0,stock,0.5545457006
180,0,stock,0.8049359918
