dataset,file,key,abs_value,value,dtype,shape,idx0,idx1,idx2,idx3,note
authors_cadsynth,00099071.bin,edata:x,167.06739807128906,167.06739807128906,torch.float32,"(70,5,7)",55,0,5,,argmax(|tensor|)
authors_cadsynth,00099436.bin,edata:x,100.63323974609375,-100.63323974609375,torch.float32,"(146,5,7)",3,0,5,,argmax(|tensor|)
authors_cadsynth,00002172.bin,edata:x,68.61962890625,68.61962890625,torch.float32,"(206,5,7)",178,0,5,,argmax(|tensor|)
authors_cadsynth,00036630.bin,edata:x,60.3569221496582,-60.3569221496582,torch.float32,"(126,5,7)",27,0,3,,argmax(|tensor|)
authors_cadsynth,00045000.bin,edata:x,59.071022033691406,-59.071022033691406,torch.float32,"(162,5,7)",31,4,4,,argmax(|tensor|)
authors_cadsynth,00029886.bin,edata:x,49.320438385009766,49.320438385009766,torch.float32,"(158,5,7)",14,0,3,,argmax(|tensor|)
authors_cadsynth,00065960.bin,edata:x,47.03258514404297,47.03258514404297,torch.float32,"(168,5,7)",58,0,5,,argmax(|tensor|)
authors_cadsynth,00079876.bin,edata:x,43.94132614135742,43.94132614135742,torch.float32,"(202,5,7)",8,0,3,,argmax(|tensor|)
authors_cadsynth,00095776.bin,edata:x,43.405723571777344,-43.405723571777344,torch.float32,"(226,5,7)",8,4,5,,argmax(|tensor|)
authors_cadsynth,00086981.bin,edata:x,41.439205169677734,41.439205169677734,torch.float32,"(154,5,7)",2,0,4,,argmax(|tensor|)
authors_cadsynth,00085488.bin,edata:x,38.45732116699219,-38.45732116699219,torch.float32,"(132,5,7)",20,0,5,,argmax(|tensor|)
authors_cadsynth,00023280.bin,edata:x,29.114723205566406,29.114723205566406,torch.float32,"(178,5,7)",65,4,5,,argmax(|tensor|)
authors_cadsynth,00099664.bin,edata:x,28.804996490478516,-28.804996490478516,torch.float32,"(172,5,7)",5,4,5,,argmax(|tensor|)
authors_cadsynth,00017394.bin,edata:x,27.220378875732422,27.220378875732422,torch.float32,"(234,5,7)",23,4,3,,argmax(|tensor|)
authors_cadsynth,00039023.bin,edata:x,25.86823272705078,25.86823272705078,torch.float32,"(172,5,7)",2,4,5,,argmax(|tensor|)
authors_cadsynth,00072494.bin,edata:x,24.847177505493164,24.847177505493164,torch.float32,"(112,5,7)",12,0,3,,argmax(|tensor|)
authors_cadsynth,00007878.bin,edata:x,24.283077239990234,24.283077239990234,torch.float32,"(194,5,7)",140,0,5,,argmax(|tensor|)
authors_cadsynth,00008318.bin,edata:x,23.153127670288086,23.153127670288086,torch.float32,"(272,5,7)",141,4,4,,argmax(|tensor|)
authors_cadsynth,00013011.bin,edata:x,20.28795623779297,20.28795623779297,torch.float32,"(150,5,7)",119,4,3,,argmax(|tensor|)
authors_cadsynth,00018433.bin,edata:x,20.044649124145508,-20.044649124145508,torch.float32,"(142,5,7)",3,4,4,,argmax(|tensor|)
authors_cadsynth,00037929.bin,edata:x,18.3863525390625,18.3863525390625,torch.float32,"(166,5,7)",72,4,5,,argmax(|tensor|)
authors_cadsynth,00029861.bin,edata:x,16.373632431030273,16.373632431030273,torch.float32,"(214,5,7)",27,4,3,,argmax(|tensor|)
authors_cadsynth,00005919.bin,edata:x,15.634547233581543,15.634547233581543,torch.float32,"(226,5,7)",75,0,5,,argmax(|tensor|)
authors_cadsynth,00093994.bin,edata:x,15.376768112182617,-15.376768112182617,torch.float32,"(168,5,7)",39,4,5,,argmax(|tensor|)
authors_cadsynth,00064792.bin,edata:x,14.942585945129395,-14.942585945129395,torch.float32,"(90,5,7)",55,0,5,,argmax(|tensor|)
authors_cadsynth,00071951.bin,edata:x,14.846121788024902,14.846121788024902,torch.float32,"(134,5,7)",82,0,5,,argmax(|tensor|)
authors_cadsynth,00043202.bin,edata:x,14.043783187866211,-14.043783187866211,torch.float32,"(116,5,7)",27,0,5,,argmax(|tensor|)
authors_cadsynth,00075715.bin,edata:x,14.035290718078613,14.035290718078613,torch.float32,"(122,5,7)",63,4,5,,argmax(|tensor|)
authors_cadsynth,00064067.bin,edata:x,14.02475357055664,-14.02475357055664,torch.float32,"(192,5,7)",121,0,3,,argmax(|tensor|)
authors_cadsynth,00063515.bin,edata:x,13.939926147460938,13.939926147460938,torch.float32,"(118,5,7)",91,4,5,,argmax(|tensor|)
authors_cadsynth,00020874.bin,edata:x,13.35977840423584,13.35977840423584,torch.float32,"(148,5,7)",96,0,3,,argmax(|tensor|)
authors_cadsynth,00030125.bin,edata:x,13.354459762573242,13.354459762573242,torch.float32,"(294,5,7)",101,4,3,,argmax(|tensor|)
authors_cadsynth,00012366.bin,edata:x,12.943865776062012,12.943865776062012,torch.float32,"(116,5,7)",8,0,3,,argmax(|tensor|)
authors_cadsynth,00007884.bin,edata:x,12.93136215209961,-12.93136215209961,torch.float32,"(144,5,7)",25,4,4,,argmax(|tensor|)
authors_cadsynth,00054935.bin,edata:x,12.576757431030273,12.576757431030273,torch.float32,"(132,5,7)",20,0,3,,argmax(|tensor|)
authors_cadsynth,00048764.bin,edata:x,12.256634712219238,12.256634712219238,torch.float32,"(156,5,7)",73,0,4,,argmax(|tensor|)
authors_cadsynth,00049916.bin,edata:x,12.119149208068848,-12.119149208068848,torch.float32,"(216,5,7)",94,4,5,,argmax(|tensor|)
authors_cadsynth,00097292.bin,edata:x,11.76965618133545,-11.76965618133545,torch.float32,"(172,5,7)",39,4,5,,argmax(|tensor|)
authors_cadsynth,00066435.bin,edata:x,11.584293365478516,11.584293365478516,torch.float32,"(176,5,7)",137,0,5,,argmax(|tensor|)
authors_cadsynth,00011166.bin,edata:x,11.038569450378418,-11.038569450378418,torch.float32,"(232,5,7)",33,0,5,,argmax(|tensor|)
authors_cadsynth,00072830.bin,edata:x,10.832345962524414,-10.832345962524414,torch.float32,"(144,5,7)",35,4,4,,argmax(|tensor|)
authors_cadsynth,00027027.bin,edata:x,10.716988563537598,-10.716988563537598,torch.float32,"(180,5,7)",21,0,5,,argmax(|tensor|)
authors_cadsynth,00098465.bin,edata:x,10.427840232849121,10.427840232849121,torch.float32,"(178,5,7)",10,0,3,,argmax(|tensor|)
authors_cadsynth,00052345.bin,edata:x,9.642711639404297,9.642711639404297,torch.float32,"(256,5,7)",4,0,5,,argmax(|tensor|)
authors_cadsynth,00017580.bin,edata:x,9.449577331542969,-9.449577331542969,torch.float32,"(232,5,7)",96,4,5,,argmax(|tensor|)
authors_cadsynth,00015493.bin,edata:x,9.121288299560547,9.121288299560547,torch.float32,"(168,5,7)",2,4,4,,argmax(|tensor|)
authors_cadsynth,00011940.bin,edata:x,8.999948501586914,8.999948501586914,torch.float32,"(166,5,7)",15,4,3,,argmax(|tensor|)
authors_cadsynth,00065366.bin,edata:x,8.98202133178711,8.98202133178711,torch.float32,"(200,5,7)",29,0,5,,argmax(|tensor|)
authors_cadsynth,00067103.bin,edata:x,8.766488075256348,-8.766488075256348,torch.float32,"(126,5,7)",41,0,5,,argmax(|tensor|)
authors_cadsynth,00027075.bin,edata:x,8.682316780090332,-8.682316780090332,torch.float32,"(98,5,7)",5,0,5,,argmax(|tensor|)
