dataset,file,key,abs_value,value,dtype,shape,idx0,idx1,idx2,idx3,note
cadsynth_v3,00038879_101.bin,ndata:x,1.5231633186340332,1.5231633186340332,torch.float32,"(25,5,5,7)",18,0,0,2,argmax(|tensor|)
cadsynth_v3,00019830_101.bin,ndata:x,1.4937174320220947,1.4937174320220947,torch.float32,"(49,5,5,7)",45,0,4,2,argmax(|tensor|)
cadsynth_v3,00024089_101.bin,ndata:x,1.435934066772461,-1.435934066772461,torch.float32,"(34,5,5,7)",11,4,0,2,argmax(|tensor|)
cadsynth_v3,00085976_101.bin,ndata:x,1.4029864072799683,1.4029864072799683,torch.float32,"(37,5,5,7)",33,0,0,2,argmax(|tensor|)
cadsynth_v3,00032141_101.bin,ndata:x,1.3862457275390625,1.3862457275390625,torch.float32,"(34,5,5,7)",9,0,0,0,argmax(|tensor|)
cadsynth_v3,00010012_101.bin,ndata:x,1.3742401599884033,-1.3742401599884033,torch.float32,"(34,5,5,7)",15,4,0,2,argmax(|tensor|)
cadsynth_v3,00044955_101.bin,ndata:x,1.3665406703948975,1.3665406703948975,torch.float32,"(35,5,5,7)",19,0,0,2,argmax(|tensor|)
cadsynth_v3,00019685_101.bin,ndata:x,1.363120198249817,-1.363120198249817,torch.float32,"(46,5,5,7)",3,0,0,1,argmax(|tensor|)
cadsynth_v3,00070833_101.bin,ndata:x,1.3598814010620117,1.3598814010620117,torch.float32,"(24,5,5,7)",2,0,0,2,argmax(|tensor|)
cadsynth_v3,00052525_101.bin,ndata:x,1.3439462184906006,1.3439462184906006,torch.float32,"(32,5,5,7)",8,4,0,2,argmax(|tensor|)
cadsynth_v3,00002866_101.bin,ndata:x,1.3396047353744507,1.3396047353744507,torch.float32,"(29,5,5,7)",23,0,0,2,argmax(|tensor|)
cadsynth_v3,00042973_101.bin,ndata:x,1.3316758871078491,1.3316758871078491,torch.float32,"(33,5,5,7)",24,0,0,2,argmax(|tensor|)
cadsynth_v3,00016178_101.bin,ndata:x,1.3304492235183716,1.3304492235183716,torch.float32,"(26,5,5,7)",9,0,0,2,argmax(|tensor|)
cadsynth_v3,00062639_101.bin,ndata:x,1.3294105529785156,1.3294105529785156,torch.float32,"(59,5,5,7)",56,0,0,0,argmax(|tensor|)
cadsynth_v3,00088530_101.bin,ndata:x,1.3290072679519653,-1.3290072679519653,torch.float32,"(47,5,5,7)",11,0,0,1,argmax(|tensor|)
cadsynth_v3,00064222_101.bin,ndata:x,1.3244068622589111,-1.3244068622589111,torch.float32,"(27,5,5,7)",14,0,4,2,argmax(|tensor|)
cadsynth_v3,00015607_101.bin,ndata:x,1.3166749477386475,1.3166749477386475,torch.float32,"(41,5,5,7)",30,0,0,2,argmax(|tensor|)
cadsynth_v3,00060790_101.bin,ndata:x,1.3166309595108032,1.3166309595108032,torch.float32,"(28,5,5,7)",14,0,0,0,argmax(|tensor|)
cadsynth_v3,00003685_101.bin,ndata:x,1.3123012781143188,-1.3123012781143188,torch.float32,"(37,5,5,7)",13,0,0,1,argmax(|tensor|)
cadsynth_v3,00075351_101.bin,ndata:x,1.307492971420288,-1.307492971420288,torch.float32,"(30,5,5,7)",26,4,0,0,argmax(|tensor|)
cadsynth_v3,00038099_101.bin,ndata:x,1.298835039138794,1.298835039138794,torch.float32,"(28,5,5,7)",20,0,0,2,argmax(|tensor|)
cadsynth_v3,00029155_101.bin,ndata:x,1.2884392738342285,1.2884392738342285,torch.float32,"(34,5,5,7)",32,0,4,1,argmax(|tensor|)
cadsynth_v3,00025538_101.bin,ndata:x,1.2872350215911865,-1.2872350215911865,torch.float32,"(25,5,5,7)",24,0,4,2,argmax(|tensor|)
cadsynth_v3,00060910_101.bin,ndata:x,1.2863812446594238,1.2863812446594238,torch.float32,"(39,5,5,7)",17,4,0,2,argmax(|tensor|)
cadsynth_v3,00035190_101.bin,ndata:x,1.2861727476119995,1.2861727476119995,torch.float32,"(44,5,5,7)",40,0,4,2,argmax(|tensor|)
cadsynth_v3,00039767_101.bin,ndata:x,1.2840689420700073,-1.2840689420700073,torch.float32,"(76,5,5,7)",21,0,0,2,argmax(|tensor|)
cadsynth_v3,00021329_101.bin,ndata:x,1.2838397026062012,1.2838397026062012,torch.float32,"(39,5,5,7)",14,4,0,2,argmax(|tensor|)
cadsynth_v3,00055881_101.bin,ndata:x,1.283833622932434,-1.283833622932434,torch.float32,"(44,5,5,7)",38,0,4,2,argmax(|tensor|)
cadsynth_v3,00009707_101.bin,ndata:x,1.282958984375,1.282958984375,torch.float32,"(36,5,5,7)",4,4,0,0,argmax(|tensor|)
cadsynth_v3,00099721_101.bin,ndata:x,1.279374361038208,1.279374361038208,torch.float32,"(40,5,5,7)",31,0,0,2,argmax(|tensor|)
cadsynth_v3,00081602_101.bin,ndata:x,1.2728042602539062,1.2728042602539062,torch.float32,"(45,5,5,7)",35,0,0,2,argmax(|tensor|)
cadsynth_v3,00098486_101.bin,ndata:x,1.2702085971832275,1.2702085971832275,torch.float32,"(41,5,5,7)",24,0,4,2,argmax(|tensor|)
cadsynth_v3,00036526_101.bin,ndata:x,1.2695226669311523,-1.2695226669311523,torch.float32,"(35,5,5,7)",10,4,4,2,argmax(|tensor|)
cadsynth_v3,00015941_101.bin,ndata:x,1.268275499343872,1.268275499343872,torch.float32,"(6,5,5,7)",3,0,0,0,argmax(|tensor|)
cadsynth_v3,00066419_101.bin,ndata:x,1.2606794834136963,-1.2606794834136963,torch.float32,"(19,5,5,7)",16,0,0,2,argmax(|tensor|)
cadsynth_v3,00032541_101.bin,ndata:x,1.2586009502410889,1.2586009502410889,torch.float32,"(37,5,5,7)",10,0,4,2,argmax(|tensor|)
cadsynth_v3,00013331_101.bin,ndata:x,1.2579070329666138,-1.2579070329666138,torch.float32,"(36,5,5,7)",4,0,0,1,argmax(|tensor|)
cadsynth_v3,00068505_101.bin,ndata:x,1.2551965713500977,-1.2551965713500977,torch.float32,"(34,5,5,7)",20,0,4,2,argmax(|tensor|)
cadsynth_v3,00048688_101.bin,ndata:x,1.2543524503707886,1.2543524503707886,torch.float32,"(35,5,5,7)",29,0,0,0,argmax(|tensor|)
cadsynth_v3,00085986_101.bin,ndata:x,1.2506624460220337,1.2506624460220337,torch.float32,"(38,5,5,7)",9,0,0,2,argmax(|tensor|)
cadsynth_v3,00063758_101.bin,ndata:x,1.2503724098205566,1.2503724098205566,torch.float32,"(31,5,5,7)",29,0,0,2,argmax(|tensor|)
cadsynth_v3,00074949_101.bin,ndata:x,1.2380412817001343,1.2380412817001343,torch.float32,"(46,5,5,7)",12,0,4,2,argmax(|tensor|)
