dataset,file,key,abs_value,value,dtype,shape,idx0,idx1,idx2,idx3,note
mfcadpp,mfcad_6685_101.bin,edata:x,1154843.75,1154843.75,torch.float32,"(166,5,7)",127,0,6,,argmax(|tensor|)
mfcadpp,mfcad_50699_101.bin,edata:x,1000839.75,1000839.75,torch.float32,"(96,5,7)",14,0,6,,argmax(|tensor|)
mfcadpp,mfcad_52121_101.bin,edata:x,516964.84375,516964.84375,torch.float32,"(120,5,7)",55,0,6,,argmax(|tensor|)
mfcadpp,mfcad_15082_101.bin,edata:x,320784.75,320784.75,torch.float32,"(160,5,7)",128,4,6,,argmax(|tensor|)
mfcadpp,mfcad_25448_101.bin,edata:x,319885.96875,319885.96875,torch.float32,"(172,5,7)",129,0,6,,argmax(|tensor|)
mfcadpp,mfcad_19167_101.bin,edata:x,86677.6328125,86677.6328125,torch.float32,"(162,5,7)",110,0,6,,argmax(|tensor|)
mfcadpp,mfcad_44854_101.bin,edata:x,73155.375,73155.375,torch.float32,"(158,5,7)",1,0,6,,argmax(|tensor|)
mfcadpp,mfcad_5181_101.bin,edata:x,65914.0234375,65914.0234375,torch.float32,"(114,5,7)",78,0,6,,argmax(|tensor|)
mfcadpp,mfcad_38121_101.bin,edata:x,64367.953125,64367.953125,torch.float32,"(204,5,7)",190,0,6,,argmax(|tensor|)
mfcadpp,mfcad_50160_101.bin,edata:x,59934.390625,59934.390625,torch.float32,"(232,5,7)",48,0,6,,argmax(|tensor|)
mfcadpp,mfcad_38145_101.bin,edata:x,56881.6640625,56881.6640625,torch.float32,"(124,5,7)",65,0,6,,argmax(|tensor|)
mfcadpp,mfcad_49798_101.bin,edata:x,53990.01171875,53990.01171875,torch.float32,"(222,5,7)",70,0,6,,argmax(|tensor|)
mfcadpp,mfcad_49931_101.bin,edata:x,51937.35546875,51937.35546875,torch.float32,"(212,5,7)",133,1,6,,argmax(|tensor|)
mfcadpp,mfcad_54253_101.bin,edata:x,47427.109375,47427.109375,torch.float32,"(246,5,7)",110,3,6,,argmax(|tensor|)
mfcadpp,mfcad_56591_101.bin,edata:x,47427.109375,47427.109375,torch.float32,"(182,5,7)",143,3,6,,argmax(|tensor|)
mfcadpp,mfcad_51071_101.bin,edata:x,46757.87890625,46757.87890625,torch.float32,"(118,5,7)",87,0,6,,argmax(|tensor|)
mfcadpp,mfcad_37921_101.bin,edata:x,41880.8125,41880.8125,torch.float32,"(210,5,7)",200,0,6,,argmax(|tensor|)
mfcadpp,mfcad_38256_101.bin,edata:x,38536.32421875,38536.32421875,torch.float32,"(112,5,7)",99,0,6,,argmax(|tensor|)
mfcadpp,mfcad_52337_101.bin,edata:x,38105.2265625,38105.2265625,torch.float32,"(186,5,7)",14,4,6,,argmax(|tensor|)
mfcadpp,mfcad_12137_101.bin,edata:x,36525.0,36525.0,torch.float32,"(188,5,7)",0,0,6,,argmax(|tensor|)
mfcadpp,mfcad_32828_101.bin,edata:x,30466.701171875,30466.701171875,torch.float32,"(152,5,7)",147,0,6,,argmax(|tensor|)
mfcadpp,mfcad_52445_101.bin,edata:x,29801.744140625,29801.744140625,torch.float32,"(346,5,7)",200,0,6,,argmax(|tensor|)
mfcadpp,mfcad_51423_101.bin,edata:x,29666.099609375,29666.099609375,torch.float32,"(102,5,7)",2,0,6,,argmax(|tensor|)
mfcadpp,mfcad_21409_101.bin,edata:x,29164.962890625,29164.962890625,torch.float32,"(138,5,7)",116,0,6,,argmax(|tensor|)
