dataset,file,key,abs_value,value,dtype,shape,idx0,idx1,idx2,idx3,note
mfcadpp_v2,mfcad_29839_101.bin,edata:x,30.120853424072266,30.120853424072266,torch.float32,"(254,5,7)",79,0,5,,argmax(|tensor|)
mfcadpp_v2,mfcad_11116_101.bin,edata:x,16.703907012939453,-16.703907012939453,torch.float32,"(148,5,7)",3,0,4,,argmax(|tensor|)
mfcadpp_v2,mfcad_52288_101.bin,edata:x,14.627788543701172,14.627788543701172,torch.float32,"(212,5,7)",34,0,4,,argmax(|tensor|)
mfcadpp_v2,mfcad_30786_101.bin,edata:x,3.511711597442627,-3.511711597442627,torch.float32,"(126,5,7)",55,0,5,,argmax(|tensor|)
mfcadpp_v2,mfcad_58289_101.bin,edata:x,3.2150046825408936,-3.2150046825408936,torch.float32,"(162,5,7)",22,0,4,,argmax(|tensor|)
mfcadpp_v2,mfcad_0_101.bin,edata:x,3.1415927410125732,-3.1415927410125732,torch.float32,"(216,5,7)",15,0,6,,argmax(|tensor|)
mfcadpp_v2,mfcad_10000_101.bin,edata:x,3.1415927410125732,-3.1415927410125732,torch.float32,"(128,5,7)",8,0,6,,argmax(|tensor|)
mfcadpp_v2,mfcad_10005_101.bin,edata:x,3.1415927410125732,-3.1415927410125732,torch.float32,"(122,5,7)",27,0,6,,argmax(|tensor|)
mfcadpp_v2,mfcad_10006_101.bin,edata:x,3.1415927410125732,-3.1415927410125732,torch.float32,"(158,5,7)",19,0,6,,argmax(|tensor|)
mfcadpp_v2,mfcad_10010_101.bin,edata:x,3.1415927410125732,-3.1415927410125732,torch.float32,"(180,5,7)",5,0,6,,argmax(|tensor|)
mfcadpp_v2,mfcad_10011_101.bin,edata:x,3.1415927410125732,-3.1415927410125732,torch.float32,"(230,5,7)",20,0,6,,argmax(|tensor|)
mfcadpp_v2,mfcad_10012_101.bin,edata:x,3.1415927410125732,-3.1415927410125732,torch.float32,"(190,5,7)",42,0,6,,argmax(|tensor|)
mfcadpp_v2,mfcad_10013_101.bin,edata:x,3.1415927410125732,-3.1415927410125732,torch.float32,"(136,5,7)",73,0,6,,argmax(|tensor|)
mfcadpp_v2,mfcad_1001_101.bin,edata:x,3.1415927410125732,-3.1415927410125732,torch.float32,"(114,5,7)",36,0,6,,argmax(|tensor|)
