dataset,key,dtype,tensors_seen,rank_min,rank_max,dim0_min,dim0_max,dim1_min,dim1_max,dim2_min,dim2_max,dim3_min,dim3_max,dim4_min,dim4_max,dim5_min,dim5_max,channels_lastdim_min,channels_lastdim_max,shape_samples
mfcadpp_v3,aux:angle_distance,torch.float32,59521,3,3,3,86,3,86,64,64,,,,,,,64,64,"(18, 18, 64); (21, 21, 64); (22, 22, 64); (23, 23, 64); (24, 24, 64); (25, 25, 64); (26, 26, 64); (27, 27, 64); (28, 28, 64); (29, 29, 64); (30, 30, 64); (31, 31, 64); (32, 32, 64); (35, 35, 64); (36, 36, 64); (37, 37, 64); (38, 38, 64); (40, 40, 64); (43, 43, 64); (44, 44, 64); (48, 48, 64); (49, 49, 64); (51, 51, 64); (52, 52, 64); (57, 57, 64)"
mfcadpp_v3,aux:d2_distance,torch.float32,59521,3,3,3,86,3,86,64,64,,,,,,,64,64,"(18, 18, 64); (21, 21, 64); (22, 22, 64); (23, 23, 64); (24, 24, 64); (25, 25, 64); (26, 26, 64); (27, 27, 64); (28, 28, 64); (29, 29, 64); (30, 30, 64); (31, 31, 64); (32, 32, 64); (35, 35, 64); (36, 36, 64); (37, 37, 64); (38, 38, 64); (40, 40, 64); (43, 43, 64); (44, 44, 64); (48, 48, 64); (49, 49, 64); (51, 51, 64); (52, 52, 64); (57, 57, 64)"
mfcadpp_v3,aux:edges_path,torch.int32,59521,3,3,3,86,3,86,1,14,,,,,,,1,14,"(18, 18, 4); (21, 21, 7); (22, 22, 4); (23, 23, 3); (24, 24, 6); (25, 25, 5); (27, 27, 5); (27, 27, 7); (28, 28, 5); (29, 29, 7); (31, 31, 4); (32, 32, 4); (32, 32, 8); (35, 35, 6); (37, 37, 4); (37, 37, 5); (38, 38, 5); (38, 38, 7); (40, 40, 5); (43, 43, 7); (48, 48, 4); (49, 49, 5); (49, 49, 7); (52, 52, 6); (57, 57, 6)"
mfcadpp_v3,aux:spatial_pos,torch.int32,59521,2,2,3,86,3,86,,,,,,,,,3,86,"(18, 18); (21, 21); (22, 22); (23, 23); (24, 24); (25, 25); (26, 26); (27, 27); (28, 28); (29, 29); (30, 30); (31, 31); (32, 32); (35, 35); (36, 36); (37, 37); (38, 38); (40, 40); (43, 43); (44, 44); (48, 48); (49, 49); (51, 51); (52, 52); (57, 57)"
mfcadpp_v3,derived:node_degree,torch.int64,59521,1,1,3,86,,,,,,,,,,,3,86,"(18,); (21,); (22,); (23,); (24,); (25,); (26,); (27,); (28,); (29,); (30,); (31,); (32,); (35,); (36,); (37,); (38,); (40,); (43,); (44,); (48,); (49,); (51,); (52,); (57,)"
mfcadpp_v3,edata:a,torch.float32,59521,1,1,6,548,,,,,,,,,,,6,548,"(112,); (114,); (122,); (124,); (128,); (130,); (136,); (140,); (146,); (158,); (170,); (172,); (180,); (186,); (190,); (192,); (216,); (230,); (236,); (250,); (280,); (282,); (298,); (84,); (92,)"
mfcadpp_v3,edata:c,torch.int32,59521,1,1,6,548,,,,,,,,,,,6,548,"(112,); (114,); (122,); (124,); (128,); (130,); (136,); (140,); (146,); (158,); (170,); (172,); (180,); (186,); (190,); (192,); (216,); (230,); (236,); (250,); (280,); (282,); (298,); (84,); (92,)"
mfcadpp_v3,edata:l,torch.float32,59521,1,1,6,548,,,,,,,,,,,6,548,"(112,); (114,); (122,); (124,); (128,); (130,); (136,); (140,); (146,); (158,); (170,); (172,); (180,); (186,); (190,); (192,); (216,); (230,); (236,); (250,); (280,); (282,); (298,); (84,); (92,)"
mfcadpp_v3,edata:t,torch.int32,59521,1,1,6,548,,,,,,,,,,,6,548,"(112,); (114,); (122,); (124,); (128,); (130,); (136,); (140,); (146,); (158,); (170,); (172,); (180,); (186,); (190,); (192,); (216,); (230,); (236,); (250,); (280,); (282,); (298,); (84,); (92,)"
mfcadpp_v3,edata:x,torch.float32,59521,3,3,6,548,5,5,6,6,,,,,,,6,6,"(112, 5, 6); (114, 5, 6); (122, 5, 6); (124, 5, 6); (128, 5, 6); (130, 5, 6); (136, 5, 6); (140, 5, 6); (146, 5, 6); (158, 5, 6); (170, 5, 6); (172, 5, 6); (180, 5, 6); (186, 5, 6); (190, 5, 6); (192, 5, 6); (216, 5, 6); (230, 5, 6); (236, 5, 6); (250, 5, 6); (280, 5, 6); (282, 5, 6); (298, 5, 6); (84, 5, 6); (92, 5, 6)"
mfcadpp_v3,ndata:a,torch.int32,59521,1,1,3,86,,,,,,,,,,,3,86,"(18,); (21,); (22,); (23,); (24,); (25,); (26,); (27,); (28,); (29,); (30,); (31,); (32,); (35,); (36,); (37,); (38,); (40,); (43,); (44,); (48,); (49,); (51,); (52,); (57,)"
mfcadpp_v3,ndata:f,torch.int32,59521,1,1,3,86,,,,,,,,,,,3,86,"(18,); (21,); (22,); (23,); (24,); (25,); (26,); (27,); (28,); (29,); (30,); (31,); (32,); (35,); (36,); (37,); (38,); (40,); (43,); (44,); (48,); (49,); (51,); (52,); (57,)"
mfcadpp_v3,ndata:l,torch.int32,59521,1,1,3,86,,,,,,,,,,,3,86,"(18,); (21,); (22,); (23,); (24,); (25,); (26,); (27,); (28,); (29,); (30,); (31,); (32,); (35,); (36,); (37,); (38,); (40,); (43,); (44,); (48,); (49,); (51,); (52,); (57,)"
mfcadpp_v3,ndata:x,torch.float32,59521,4,4,3,86,5,5,5,5,7,7,,,,,7,7,"(18, 5, 5, 7); (21, 5, 5, 7); (22, 5, 5, 7); (23, 5, 5, 7); (24, 5, 5, 7); (25, 5, 5, 7); (26, 5, 5, 7); (27, 5, 5, 7); (28, 5, 5, 7); (29, 5, 5, 7); (30, 5, 5, 7); (31, 5, 5, 7); (32, 5, 5, 7); (35, 5, 5, 7); (36, 5, 5, 7); (37, 5, 5, 7); (38, 5, 5, 7); (40, 5, 5, 7); (43, 5, 5, 7); (44, 5, 5, 7); (48, 5, 5, 7); (49, 5, 5, 7); (51, 5, 5, 7); (52, 5, 5, 7); (57, 5, 5, 7)"
mfcadpp_v3,ndata:y,torch.float32,59521,1,1,3,86,,,,,,,,,,,3,86,"(18,); (21,); (22,); (23,); (24,); (25,); (26,); (27,); (28,); (29,); (30,); (31,); (32,); (35,); (36,); (37,); (38,); (40,); (43,); (44,); (48,); (49,); (51,); (52,); (57,)"
mfcadpp_v3,ndata:z,torch.int32,59521,1,1,3,86,,,,,,,,,,,3,86,"(18,); (21,); (22,); (23,); (24,); (25,); (26,); (27,); (28,); (29,); (30,); (31,); (32,); (35,); (36,); (37,); (38,); (40,); (43,); (44,); (48,); (49,); (51,); (52,); (57,)"
