dataset,file,key,abs_value,value,dtype,shape,idx0,idx1,idx2,idx3,note
ours_cadsynth,00060708_101.bin,edata:x,161912880.0,161912880.0,torch.float32,"(94,5,7)",10,0,6,,argmax(|tensor|)
ours_cadsynth,00000429_101.bin,edata:x,14626657.0,14626657.0,torch.float32,"(184,5,7)",169,0,6,,argmax(|tensor|)
ours_cadsynth,00074172_101.bin,edata:x,11179902.0,11179902.0,torch.float32,"(294,5,7)",83,0,6,,argmax(|tensor|)
ours_cadsynth,00029276_101.bin,edata:x,11138417.0,11138417.0,torch.float32,"(148,5,7)",48,0,6,,argmax(|tensor|)
ours_cadsynth,00059381_101.bin,edata:x,9380785.0,9380785.0,torch.float32,"(106,5,7)",15,0,6,,argmax(|tensor|)
ours_cadsynth,00078668_101.bin,edata:x,8127449.0,8127449.0,torch.float32,"(190,5,7)",107,0,6,,argmax(|tensor|)
ours_cadsynth,00067043_101.bin,edata:x,6678029.0,6678029.0,torch.float32,"(176,5,7)",32,0,6,,argmax(|tensor|)
ours_cadsynth,00000365_101.bin,edata:x,5501034.0,5501034.0,torch.float32,"(108,5,7)",1,0,6,,argmax(|tensor|)
ours_cadsynth,00011413_101.bin,edata:x,5059134.5,5059134.5,torch.float32,"(148,5,7)",72,0,6,,argmax(|tensor|)
ours_cadsynth,00060379_101.bin,edata:x,4863577.5,4863577.5,torch.float32,"(230,5,7)",31,0,6,,argmax(|tensor|)
ours_cadsynth,00045618_101.bin,edata:x,4768741.5,4768741.5,torch.float32,"(178,5,7)",19,0,6,,argmax(|tensor|)
ours_cadsynth,00033716_101.bin,edata:x,3872415.5,3872415.5,torch.float32,"(242,5,7)",62,0,6,,argmax(|tensor|)
ours_cadsynth,00068603_101.bin,edata:x,3805916.5,3805916.5,torch.float32,"(90,5,7)",1,0,6,,argmax(|tensor|)
ours_cadsynth,00067437_101.bin,edata:x,3769673.0,3769673.0,torch.float32,"(224,5,7)",48,0,6,,argmax(|tensor|)
ours_cadsynth,00013296_101.bin,edata:x,3754187.25,3754187.25,torch.float32,"(124,5,7)",76,0,6,,argmax(|tensor|)
ours_cadsynth,00063843_101.bin,edata:x,3510111.5,3510111.5,torch.float32,"(176,5,7)",35,3,6,,argmax(|tensor|)
ours_cadsynth,00066002_101.bin,edata:x,3060108.25,3060108.25,torch.float32,"(140,5,7)",103,0,6,,argmax(|tensor|)
ours_cadsynth,00093098_101.bin,edata:x,2993944.0,2993944.0,torch.float32,"(148,5,7)",84,0,6,,argmax(|tensor|)
ours_cadsynth,00015639_101.bin,edata:x,2961207.25,2961207.25,torch.float32,"(208,5,7)",98,0,6,,argmax(|tensor|)
ours_cadsynth,00082261_101.bin,edata:x,2946883.75,2946883.75,torch.float32,"(82,5,7)",50,0,6,,argmax(|tensor|)
ours_cadsynth,00037281_101.bin,edata:x,2915846.25,2915846.25,torch.float32,"(202,5,7)",116,0,6,,argmax(|tensor|)
ours_cadsynth,00001393_101.bin,edata:x,2759860.0,2759860.0,torch.float32,"(164,5,7)",63,0,6,,argmax(|tensor|)
ours_cadsynth,00054723_101.bin,edata:x,2718727.0,2718727.0,torch.float32,"(118,5,7)",80,0,6,,argmax(|tensor|)
ours_cadsynth,00016263_101.bin,edata:x,2641959.25,2641959.25,torch.float32,"(156,5,7)",36,0,6,,argmax(|tensor|)
ours_cadsynth,00034844_101.bin,edata:x,2617462.0,2617462.0,torch.float32,"(156,5,7)",138,4,6,,argmax(|tensor|)
ours_cadsynth,00064267_101.bin,edata:x,2577437.25,2577437.25,torch.float32,"(150,5,7)",126,0,6,,argmax(|tensor|)
ours_cadsynth,00014654_101.bin,edata:x,2541742.25,2541742.25,torch.float32,"(158,5,7)",0,0,6,,argmax(|tensor|)
ours_cadsynth,00044998_101.bin,edata:x,2492595.75,2492595.75,torch.float32,"(186,5,7)",115,0,6,,argmax(|tensor|)
ours_cadsynth,00020518_101.bin,edata:x,2436444.25,2436444.25,torch.float32,"(130,5,7)",92,0,6,,argmax(|tensor|)
ours_cadsynth,00023682_101.bin,edata:x,2434784.0,2434784.0,torch.float32,"(90,5,7)",10,0,6,,argmax(|tensor|)
ours_cadsynth,00069421_101.bin,edata:x,2394199.25,2394199.25,torch.float32,"(208,5,7)",1,0,6,,argmax(|tensor|)
ours_cadsynth,00075314_101.bin,edata:x,2356407.25,2356407.25,torch.float32,"(136,5,7)",8,0,6,,argmax(|tensor|)
ours_cadsynth,00010811_101.bin,edata:x,2335298.75,2335298.75,torch.float32,"(120,5,7)",73,0,6,,argmax(|tensor|)
ours_cadsynth,00006150_101.bin,edata:x,2200076.25,2200076.25,torch.float32,"(114,5,7)",35,0,6,,argmax(|tensor|)
ours_cadsynth,00058119_101.bin,edata:x,2139934.5,2139934.5,torch.float32,"(170,5,7)",113,0,6,,argmax(|tensor|)
ours_cadsynth,00051055_101.bin,edata:x,2135602.5,2135602.5,torch.float32,"(196,5,7)",65,0,6,,argmax(|tensor|)
ours_cadsynth,00028983_101.bin,edata:x,2134049.5,2134049.5,torch.float32,"(174,5,7)",39,0,6,,argmax(|tensor|)
ours_cadsynth,00088012_101.bin,edata:x,2080345.0,2080345.0,torch.float32,"(166,5,7)",45,0,6,,argmax(|tensor|)
ours_cadsynth,00093864_101.bin,edata:x,2066770.625,2066770.625,torch.float32,"(166,5,7)",57,0,6,,argmax(|tensor|)
ours_cadsynth,00074552_101.bin,edata:x,2062273.875,2062273.875,torch.float32,"(100,5,7)",50,0,6,,argmax(|tensor|)
ours_cadsynth,00068206_101.bin,edata:x,2061488.125,2061488.125,torch.float32,"(58,5,7)",5,0,6,,argmax(|tensor|)
ours_cadsynth,00062783_101.bin,edata:x,1958709.875,1958709.875,torch.float32,"(158,5,7)",122,0,6,,argmax(|tensor|)
ours_cadsynth,00036627_101.bin,edata:x,1932610.125,1932610.125,torch.float32,"(176,5,7)",123,0,6,,argmax(|tensor|)
ours_cadsynth,00076577_101.bin,edata:x,1900662.625,1900662.625,torch.float32,"(114,5,7)",97,0,6,,argmax(|tensor|)
ours_cadsynth,00071170_101.bin,edata:x,1860703.0,1860703.0,torch.float32,"(128,5,7)",114,0,6,,argmax(|tensor|)
ours_cadsynth,00015340_101.bin,edata:x,1857954.875,1857954.875,torch.float32,"(112,5,7)",83,0,6,,argmax(|tensor|)
ours_cadsynth,00076336_101.bin,edata:x,1851941.5,1851941.5,torch.float32,"(274,5,7)",180,0,6,,argmax(|tensor|)
ours_cadsynth,00096732_101.bin,edata:x,1851270.375,1851270.375,torch.float32,"(168,5,7)",101,0,6,,argmax(|tensor|)
ours_cadsynth,00011689_101.bin,edata:x,1830175.625,1830175.625,torch.float32,"(24,5,7)",8,0,6,,argmax(|tensor|)
ours_cadsynth,00025919_101.bin,edata:x,1822996.375,1822996.375,torch.float32,"(234,5,7)",198,0,6,,argmax(|tensor|)
