dataset,file,key,abs_value,value,dtype,shape,idx0,idx1,idx2,idx3,note
cadsynth,00005834_101.bin,edata:x,6.275518894195557,6.275518894195557,torch.float32,"(222,5,7)",45,0,6,,argmax(|tensor|)
cadsynth,00067099_101.bin,edata:x,6.274552345275879,6.274552345275879,torch.float32,"(156,5,7)",130,0,6,,argmax(|tensor|)
cadsynth,00006865_101.bin,edata:x,6.268275260925293,6.268275260925293,torch.float32,"(228,5,7)",76,0,6,,argmax(|tensor|)
cadsynth,00042072_101.bin,edata:x,6.266441822052002,6.266441822052002,torch.float32,"(216,5,7)",105,0,6,,argmax(|tensor|)
cadsynth,00095873_101.bin,edata:x,6.264847278594971,6.264847278594971,torch.float32,"(262,5,7)",196,0,6,,argmax(|tensor|)
cadsynth,00025659_101.bin,edata:x,6.262397766113281,6.262397766113281,torch.float32,"(152,5,7)",85,0,6,,argmax(|tensor|)
cadsynth,00049916_101.bin,edata:x,6.258719444274902,6.258719444274902,torch.float32,"(216,5,7)",99,0,6,,argmax(|tensor|)
cadsynth,00011450_101.bin,edata:x,6.25780725479126,6.25780725479126,torch.float32,"(172,5,7)",94,0,6,,argmax(|tensor|)
cadsynth,00013039_101.bin,edata:x,6.256738185882568,6.256738185882568,torch.float32,"(202,5,7)",139,0,6,,argmax(|tensor|)
cadsynth,00046983_101.bin,edata:x,6.256026268005371,6.256026268005371,torch.float32,"(198,5,7)",78,0,6,,argmax(|tensor|)
cadsynth,00081794_101.bin,edata:x,6.25302267074585,6.25302267074585,torch.float32,"(148,5,7)",89,0,6,,argmax(|tensor|)
cadsynth,00065329_101.bin,edata:x,6.251689434051514,6.251689434051514,torch.float32,"(240,5,7)",57,0,6,,argmax(|tensor|)
cadsynth,00087150_101.bin,edata:x,6.250394344329834,6.250394344329834,torch.float32,"(256,5,7)",183,0,6,,argmax(|tensor|)
cadsynth,00095213_101.bin,edata:x,6.248559951782227,6.248559951782227,torch.float32,"(178,5,7)",175,0,6,,argmax(|tensor|)
cadsynth,00095335_101.bin,edata:x,6.248278617858887,6.248278617858887,torch.float32,"(144,5,7)",107,0,6,,argmax(|tensor|)
cadsynth,00011108_101.bin,edata:x,6.246377468109131,6.246377468109131,torch.float32,"(116,5,7)",96,0,6,,argmax(|tensor|)
cadsynth,00020341_101.bin,edata:x,6.244139194488525,6.244139194488525,torch.float32,"(182,5,7)",33,0,6,,argmax(|tensor|)
cadsynth,00032669_101.bin,edata:x,6.24263334274292,6.24263334274292,torch.float32,"(142,5,7)",92,0,6,,argmax(|tensor|)
cadsynth,00031390_101.bin,edata:x,6.242300987243652,6.242300987243652,torch.float32,"(162,5,7)",131,0,6,,argmax(|tensor|)
cadsynth,00027682_101.bin,edata:x,6.241466045379639,6.241466045379639,torch.float32,"(148,5,7)",80,0,6,,argmax(|tensor|)
cadsynth,00096485_101.bin,edata:x,6.24054479598999,6.24054479598999,torch.float32,"(218,5,7)",100,0,6,,argmax(|tensor|)
cadsynth,00019820_101.bin,edata:x,6.2368550300598145,6.2368550300598145,torch.float32,"(206,5,7)",99,0,6,,argmax(|tensor|)
cadsynth,00033003_101.bin,edata:x,6.236598014831543,6.236598014831543,torch.float32,"(224,5,7)",138,0,6,,argmax(|tensor|)
cadsynth,00073319_101.bin,edata:x,6.23443603515625,6.23443603515625,torch.float32,"(138,5,7)",110,0,6,,argmax(|tensor|)
cadsynth,00045571_101.bin,edata:x,6.233680725097656,6.233680725097656,torch.float32,"(122,5,7)",41,0,6,,argmax(|tensor|)
cadsynth,00062481_101.bin,edata:x,6.232743740081787,6.232743740081787,torch.float32,"(166,5,7)",71,0,6,,argmax(|tensor|)
