dataset,file,key,abs_value,value,dtype,shape,idx0,idx1,idx2,idx3,note
mfcad,mfcad_0_101.bin,edata:x,3.1415927410125732,-3.1415927410125732,torch.float32,"(216,5,7)",15,0,6,,argmax(|tensor|)
mfcad,mfcad_10000_101.bin,edata:x,3.1415927410125732,-3.1415927410125732,torch.float32,"(128,5,7)",8,0,6,,argmax(|tensor|)
mfcad,mfcad_10005_101.bin,edata:x,3.1415927410125732,-3.1415927410125732,torch.float32,"(122,5,7)",27,0,6,,argmax(|tensor|)
mfcad,mfcad_10006_101.bin,edata:x,3.1415927410125732,-3.1415927410125732,torch.float32,"(158,5,7)",19,0,6,,argmax(|tensor|)
mfcad,mfcad_10010_101.bin,edata:x,3.1415927410125732,-3.1415927410125732,torch.float32,"(180,5,7)",5,0,6,,argmax(|tensor|)
mfcad,mfcad_10011_101.bin,edata:x,3.1415927410125732,-3.1415927410125732,torch.float32,"(230,5,7)",20,0,6,,argmax(|tensor|)
mfcad,mfcad_10012_101.bin,edata:x,3.1415927410125732,-3.1415927410125732,torch.float32,"(190,5,7)",42,0,6,,argmax(|tensor|)
mfcad,mfcad_10013_101.bin,edata:x,3.1415927410125732,-3.1415927410125732,torch.float32,"(136,5,7)",73,0,6,,argmax(|tensor|)
mfcad,mfcad_1001_101.bin,edata:x,3.1415927410125732,-3.1415927410125732,torch.float32,"(114,5,7)",36,0,6,,argmax(|tensor|)
mfcad,mfcad_10020_101.bin,edata:x,3.1415927410125732,-3.1415927410125732,torch.float32,"(298,5,7)",71,0,6,,argmax(|tensor|)
mfcad,mfcad_10021_101.bin,edata:x,3.1415927410125732,-3.1415927410125732,torch.float32,"(280,5,7)",87,0,6,,argmax(|tensor|)
mfcad,mfcad_10024_101.bin,edata:x,3.1415927410125732,-3.1415927410125732,torch.float32,"(172,5,7)",20,0,6,,argmax(|tensor|)
mfcad,mfcad_10025_101.bin,edata:x,3.1415927410125732,-3.1415927410125732,torch.float32,"(198,5,7)",54,0,6,,argmax(|tensor|)
mfcad,mfcad_10026_101.bin,edata:x,3.1415927410125732,-3.1415927410125732,torch.float32,"(220,5,7)",10,0,6,,argmax(|tensor|)
mfcad,mfcad_10028_101.bin,edata:x,3.1415927410125732,-3.1415927410125732,torch.float32,"(134,5,7)",19,0,6,,argmax(|tensor|)
mfcad,mfcad_1002_101.bin,edata:x,3.1415927410125732,-3.1415927410125732,torch.float32,"(100,5,7)",17,0,6,,argmax(|tensor|)
mfcad,mfcad_10030_101.bin,edata:x,3.1415927410125732,-3.1415927410125732,torch.float32,"(104,5,7)",30,0,6,,argmax(|tensor|)
mfcad,mfcad_10031_101.bin,edata:x,3.1415927410125732,-3.1415927410125732,torch.float32,"(246,5,7)",9,0,6,,argmax(|tensor|)
mfcad,mfcad_10034_101.bin,edata:x,3.1415927410125732,-3.1415927410125732,torch.float32,"(148,5,7)",32,0,6,,argmax(|tensor|)
mfcad,mfcad_10036_101.bin,edata:x,3.1415927410125732,-3.1415927410125732,torch.float32,"(160,5,7)",5,0,6,,argmax(|tensor|)
mfcad,mfcad_10039_101.bin,edata:x,3.1415927410125732,-3.1415927410125732,torch.float32,"(134,5,7)",40,0,6,,argmax(|tensor|)
mfcad,mfcad_1003_101.bin,edata:x,3.1415927410125732,-3.1415927410125732,torch.float32,"(158,5,7)",67,0,6,,argmax(|tensor|)
mfcad,mfcad_10047_101.bin,edata:x,3.1415927410125732,-3.1415927410125732,torch.float32,"(170,5,7)",5,0,6,,argmax(|tensor|)
mfcad,mfcad_10049_101.bin,edata:x,3.1415927410125732,-3.1415927410125732,torch.float32,"(186,5,7)",21,0,6,,argmax(|tensor|)
