dataset,key,dtype,tensors_seen,rank_min,rank_max,dim0_min,dim0_max,dim1_min,dim1_max,dim2_min,dim2_max,dim3_min,dim3_max,dim4_min,dim4_max,dim5_min,dim5_max,channels_lastdim_min,channels_lastdim_max,shape_samples
mfcad,aux:angle_distance,torch.float32,59471,3,3,3,86,3,86,64,64,,,,,,,64,64,"(18, 18, 64); (21, 21, 64); (22, 22, 64); (23, 23, 64); (24, 24, 64); (25, 25, 64); (26, 26, 64); (27, 27, 64); (28, 28, 64); (29, 29, 64); (30, 30, 64); (31, 31, 64); (32, 32, 64); (35, 35, 64); (36, 36, 64); (37, 37, 64); (38, 38, 64); (40, 40, 64); (43, 43, 64); (44, 44, 64); (48, 48, 64); (49, 49, 64); (51, 51, 64); (52, 52, 64); (57, 57, 64)"
mfcad,aux:d2_distance,torch.float32,59471,3,3,3,86,3,86,64,64,,,,,,,64,64,"(18, 18, 64); (21, 21, 64); (22, 22, 64); (23, 23, 64); (24, 24, 64); (25, 25, 64); (26, 26, 64); (27, 27, 64); (28, 28, 64); (29, 29, 64); (30, 30, 64); (31, 31, 64); (32, 32, 64); (35, 35, 64); (36, 36, 64); (37, 37, 64); (38, 38, 64); (40, 40, 64); (43, 43, 64); (44, 44, 64); (48, 48, 64); (49, 49, 64); (51, 51, 64); (52, 52, 64); (57, 57, 64)"
mfcad,aux:edges_path,torch.int32,59471,3,3,3,86,3,86,1,14,,,,,,,1,14,"(18, 18, 4); (21, 21, 7); (22, 22, 4); (23, 23, 3); (24, 24, 6); (25, 25, 5); (27, 27, 5); (27, 27, 7); (28, 28, 5); (29, 29, 7); (31, 31, 4); (32, 32, 4); (32, 32, 8); (35, 35, 6); (37, 37, 4); (37, 37, 5); (38, 38, 5); (38, 38, 7); (40, 40, 5); (43, 43, 7); (48, 48, 4); (49, 49, 5); (49, 49, 7); (52, 52, 6); (57, 57, 6)"
mfcad,aux:spatial_pos,torch.int32,59471,2,2,3,86,3,86,,,,,,,,,3,86,"(18, 18); (21, 21); (22, 22); (23, 23); (24, 24); (25, 25); (26, 26); (27, 27); (28, 28); (29, 29); (30, 30); (31, 31); (32, 32); (35, 35); (36, 36); (37, 37); (38, 38); (40, 40); (43, 43); (44, 44); (48, 48); (49, 49); (51, 51); (52, 52); (57, 57)"
mfcad,derived:node_degree,torch.int64,59471,1,1,3,86,,,,,,,,,,,3,86,"(18,); (21,); (22,); (23,); (24,); (25,); (26,); (27,); (28,); (29,); (30,); (31,); (32,); (35,); (36,); (37,); (38,); (40,); (43,); (44,); (48,); (49,); (51,); (52,); (57,)"
mfcad,edata:a,torch.float32,59471,1,1,6,548,,,,,,,,,,,6,548,"(112,); (114,); (122,); (124,); (128,); (130,); (136,); (140,); (146,); (158,); (170,); (172,); (180,); (186,); (190,); (192,); (216,); (230,); (236,); (250,); (280,); (282,); (298,); (84,); (92,)"
mfcad,edata:c,torch.int32,59471,1,1,6,548,,,,,,,,,,,6,548,"(112,); (114,); (122,); (124,); (128,); (130,); (136,); (140,); (146,); (158,); (170,); (172,); (180,); (186,); (190,); (192,); (216,); (230,); (236,); (250,); (280,); (282,); (298,); (84,); (92,)"
mfcad,edata:l,torch.float32,59471,1,1,6,548,,,,,,,,,,,6,548,"(112,); (114,); (122,); (124,); (128,); (130,); (136,); (140,); (146,); (158,); (170,); (172,); (180,); (186,); (190,); (192,); (216,); (230,); (236,); (250,); (280,); (282,); (298,); (84,); (92,)"
mfcad,edata:t,torch.int32,59471,1,1,6,548,,,,,,,,,,,6,548,"(112,); (114,); (122,); (124,); (128,); (130,); (136,); (140,); (146,); (158,); (170,); (172,); (180,); (186,); (190,); (192,); (216,); (230,); (236,); (250,); (280,); (282,); (298,); (84,); (92,)"
mfcad,edata:x,torch.float32,59471,3,3,6,548,5,5,7,7,,,,,,,7,7,"(112, 5, 7); (114, 5, 7); (122, 5, 7); (124, 5, 7); (128, 5, 7); (130, 5, 7); (136, 5, 7); (140, 5, 7); (146, 5, 7); (158, 5, 7); (170, 5, 7); (172, 5, 7); (180, 5, 7); (186, 5, 7); (190, 5, 7); (192, 5, 7); (216, 5, 7); (230, 5, 7); (236, 5, 7); (250, 5, 7); (280, 5, 7); (282, 5, 7); (298, 5, 7); (84, 5, 7); (92, 5, 7)"
