file_stem,n_faces,face_any_disagree,face_label_disagree,face_label_err_rate,face_any_err_rate,n_edges,edge_any_disagree,edge_any_err_rate
00084052,39,7,6,0.15384615384615385,0.1794871794871795,198,62,0.31313131313131315
00000001,39,5,5,0.1282051282051282,0.1282051282051282,204,8,0.0392156862745098
00000009,37,5,5,0.13513513513513514,0.13513513513513514,176,2,0.011363636363636364
00000047,24,6,5,0.20833333333333334,0.25,142,4,0.028169014084507043
00049963,47,6,5,0.10638297872340426,0.1276595744680851,232,10,0.04310344827586207
00000010,37,5,4,0.10810810810810811,0.13513513513513514,170,0,0.0
00000013,47,8,4,0.0851063829787234,0.1702127659574468,250,20,0.08
00000015,56,6,4,0.07142857142857142,0.10714285714285714,264,4,0.015151515151515152
00003959,31,4,4,0.12903225806451613,0.12903225806451613,158,8,0.05063291139240506
00028730,37,3,3,0.08108108108108109,0.08108108108108109,190,34,0.17894736842105263
00049945,35,3,3,0.08571428571428572,0.08571428571428572,162,48,0.2962962962962963
00049948,51,5,3,0.058823529411764705,0.09803921568627451,274,32,0.11678832116788321
00049952,40,5,3,0.075,0.125,210,6,0.02857142857142857
00049967,26,3,3,0.11538461538461539,0.11538461538461539,120,12,0.1
00071714,25,4,3,0.12,0.16,112,0,0.0
00088942,42,3,3,0.07142857142857142,0.07142857142857142,228,10,0.043859649122807015
00096779,30,3,3,0.1,0.1,158,6,0.0379746835443038
00099975,34,3,3,0.08823529411764706,0.08823529411764706,174,26,0.14942528735632185
00099976,32,3,3,0.09375,0.09375,166,12,0.07228915662650602
00099987,58,7,3,0.05172413793103448,0.1206896551724138,298,14,0.04697986577181208
00000002,21,2,2,0.09523809523809523,0.09523809523809523,112,0,0.0
00000008,35,5,2,0.05714285714285714,0.14285714285714285,172,0,0.0
00000016,29,2,2,0.06896551724137931,0.06896551724137931,152,14,0.09210526315789473
00000022,34,2,2,0.058823529411764705,0.058823529411764705,160,40,0.25
00000025,31,2,2,0.06451612903225806,0.06451612903225806,166,18,0.10843373493975904
00000027,31,3,2,0.06451612903225806,0.0967741935483871,126,14,0.1111111111111111
00000039,27,2,2,0.07407407407407407,0.07407407407407407,124,0,0.0
00000043,38,4,2,0.05263157894736842,0.10526315789473684,192,2,0.010416666666666666
00000045,25,2,2,0.08,0.08,128,12,0.09375
00012218,27,6,2,0.07407407407407407,0.2222222222222222,152,4,0.02631578947368421
00036543,23,2,2,0.08695652173913043,0.08695652173913043,118,2,0.01694915254237288
00049889,28,3,2,0.07142857142857142,0.10714285714285714,130,48,0.36923076923076925
00049947,45,6,2,0.044444444444444446,0.13333333333333333,238,8,0.03361344537815126
00049955,38,2,2,0.05263157894736842,0.05263157894736842,214,6,0.028037383177570093
00049962,22,2,2,0.09090909090909091,0.09090909090909091,104,50,0.4807692307692308
00049970,38,2,2,0.05263157894736842,0.05263157894736842,212,24,0.11320754716981132
00049974,20,2,2,0.1,0.1,84,2,0.023809523809523808
00049978,20,2,2,0.1,0.1,100,8,0.08
00049986,38,3,2,0.05263157894736842,0.07894736842105263,180,6,0.03333333333333333
00097445,23,2,2,0.08695652173913043,0.08695652173913043,124,34,0.27419354838709675
00099950,51,2,2,0.0392156862745098,0.0392156862745098,278,14,0.050359712230215826
00099951,32,4,2,0.0625,0.125,140,13,0.09285714285714286
00099955,28,4,2,0.07142857142857142,0.14285714285714285,130,0,0.0
00099964,29,5,2,0.06896551724137931,0.1724137931034483,156,0,0.0
00099966,23,2,2,0.08695652173913043,0.08695652173913043,124,14,0.11290322580645161
00099967,39,2,2,0.05128205128205128,0.05128205128205128,192,14,0.07291666666666667
00099969,37,2,2,0.05405405405405406,0.05405405405405406,206,30,0.14563106796116504
00099980,41,4,2,0.04878048780487805,0.0975609756097561,232,48,0.20689655172413793
00099985,36,2,2,0.05555555555555555,0.05555555555555555,196,34,0.17346938775510204
00099989,23,3,2,0.08695652173913043,0.13043478260869565,106,38,0.3584905660377358
