file_stem,n_faces,face_any_disagree,face_label_disagree,face_label_err_rate,face_any_err_rate,n_edges,edge_any_disagree,edge_any_err_rate
00000000,9,0,0,0.0,0.0,20,0,0.0
00000001,39,5,5,0.1282051282051282,0.1282051282051282,204,8,0.0392156862745098
00000002,21,2,2,0.09523809523809523,0.09523809523809523,112,0,0.0
00000003,19,0,0,0.0,0.0,88,0,0.0
00000004,36,0,0,0.0,0.0,188,34,0.18085106382978725
00000005,28,1,1,0.03571428571428571,0.03571428571428571,144,12,0.08333333333333333
00000006,22,0,0,0.0,0.0,122,14,0.11475409836065574
00000007,4,0,0,0.0,0.0,8,0,0.0
00000008,35,5,2,0.05714285714285714,0.14285714285714285,172,0,0.0
00000009,37,5,5,0.13513513513513514,0.13513513513513514,176,2,0.011363636363636364
00000010,37,5,4,0.10810810810810811,0.13513513513513514,170,0,0.0
00000011,18,0,0,0.0,0.0,96,8,0.08333333333333333
00000012,25,1,1,0.04,0.04,128,2,0.015625
00000013,47,8,4,0.0851063829787234,0.1702127659574468,250,20,0.08
00000014,26,1,1,0.038461538461538464,0.038461538461538464,138,8,0.057971014492753624
00000015,56,6,4,0.07142857142857142,0.10714285714285714,264,4,0.015151515151515152
00000016,29,2,2,0.06896551724137931,0.06896551724137931,152,14,0.09210526315789473
00000017,30,1,1,0.03333333333333333,0.03333333333333333,166,2,0.012048192771084338
00000018,33,2,0,0.0,0.06060606060606061,180,17,0.09444444444444444
00000019,41,0,0,0.0,0.0,212,0,0.0
00000020,22,1,1,0.045454545454545456,0.045454545454545456,106,11,0.10377358490566038
00000021,36,1,1,0.027777777777777776,0.027777777777777776,178,14,0.07865168539325842
00000022,34,2,2,0.058823529411764705,0.058823529411764705,160,40,0.25
00000023,26,2,1,0.038461538461538464,0.07692307692307693,132,12,0.09090909090909091
00000024,29,0,0,0.0,0.0,142,10,0.07042253521126761
00000025,31,2,2,0.06451612903225806,0.06451612903225806,166,18,0.10843373493975904
00000026,22,0,0,0.0,0.0,100,15,0.15
00000027,31,3,2,0.06451612903225806,0.0967741935483871,126,14,0.1111111111111111
00000028,17,0,0,0.0,0.0,88,6,0.06818181818181818
00000029,26,1,0,0.0,0.038461538461538464,126,8,0.06349206349206349
00000030,32,1,1,0.03125,0.03125,160,4,0.025
00000031,26,0,0,0.0,0.0,140,8,0.05714285714285714
00000032,32,1,1,0.03125,0.03125,172,18,0.10465116279069768
00000033,18,0,0,0.0,0.0,96,8,0.08333333333333333
00000034,16,0,0,0.0,0.0,84,26,0.30952380952380953
00000035,52,2,1,0.019230769230769232,0.038461538461538464,268,8,0.029850746268656716
00000036,28,0,0,0.0,0.0,144,6,0.041666666666666664
00000037,35,1,1,0.02857142857142857,0.02857142857142857,156,84,0.5384615384615384
00000038,33,6,1,0.030303030303030304,0.18181818181818182,162,16,0.09876543209876543
00000039,27,2,2,0.07407407407407407,0.07407407407407407,124,0,0.0
00000040,20,2,1,0.05,0.1,96,0,0.0
00000041,37,1,1,0.02702702702702703,0.02702702702702703,190,2,0.010526315789473684
