ours\auth,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,row_total
0,978199,37888,12875,38079,29364,59693,12181,19949,13265,23636,18955,60967,41936,36698,59582,10027,5382,9644,17538,29992,29786,41153,23733,15811,10268,1636601
1,44135,21273,348,1067,758,1136,520,641,507,350,296,923,618,518,779,208,317,515,326,457,456,578,395,338,215,77674
2,14327,406,5779,393,236,366,170,235,165,138,103,317,224,169,264,81,93,157,104,156,192,239,128,122,77,24641
3,48569,1463,512,22333,959,1570,508,689,527,527,372,1323,747,745,1078,317,392,593,410,733,777,851,475,445,333,87248
4,35798,978,333,1245,14950,1204,392,512,352,332,192,749,465,433,565,207,295,400,246,424,440,453,324,257,212,61758
5,67221,3057,1057,3733,2344,35066,1108,1403,1041,506,345,1251,971,519,996,497,656,920,322,594,638,747,495,516,569,126572
6,14183,337,130,409,242,507,6633,188,118,203,133,431,284,322,452,100,94,187,162,260,257,310,186,144,108,26380
7,18700,488,197,617,356,673,229,8942,175,190,132,516,356,314,400,102,128,242,151,242,255,340,200,187,114,34246
8,11748,303,93,343,215,403,116,152,5627,188,94,386,245,240,361,78,72,132,150,238,217,269,170,127,87,22054
9,18509,955,323,1059,603,1304,358,488,385,9600,148,624,396,177,438,146,160,247,95,258,276,317,224,190,146,37426
10,7341,243,77,255,178,299,107,121,108,51,2987,134,94,68,118,38,60,80,44,67,56,94,58,68,44,12790
11,49333,2729,857,2861,1774,3522,914,1350,971,536,441,27693,974,475,870,407,537,742,257,631,660,849,585,530,466,100964
12,31168,1808,650,2394,1544,3116,631,848,616,420,294,1232,19113,542,1041,334,306,473,229,627,565,724,562,523,396,70156
13,19158,1140,387,1410,985,1907,423,558,352,240,174,660,587,10211,581,187,220,278,82,307,296,486,351,293,218,41491
14,31869,2698,1010,3103,2237,4863,1005,1344,997,871,638,2476,2122,1076,26048,615,451,581,425,1069,1014,1903,1021,903,622,90961
15,10204,411,151,437,314,592,151,254,152,100,89,218,148,103,164,4587,93,151,69,130,116,161,96,94,126,19111
16,6292,207,66,195,153,292,77,107,72,151,99,362,240,225,347,55,2963,68,113,196,195,260,135,104,64,13038
17,8725,426,157,482,356,764,156,225,126,327,228,800,592,483,745,170,71,5253,244,434,408,572,291,198,116,22349
18,11210,599,244,729,449,928,251,328,260,159,125,415,266,114,317,93,120,154,5660,174,163,221,164,131,98,23372
19,23200,1460,542,1569,1033,1944,521,775,509,376,222,1063,641,310,730,225,235,323,145,13117,390,505,389,298,274,50796
20,22676,1383,460,1419,1016,1870,453,699,446,320,218,929,634,315,685,248,265,311,149,441,13279,549,344,295,286,49690
21,30094,2042,707,2331,1557,3225,659,992,708,474,350,1466,1171,592,1196,375,349,481,221,551,604,18709,615,475,381,70325
22,20545,983,314,1230,810,1500,361,453,369,240,181,682,495,305,532,178,186,255,125,299,295,445,10911,250,221,42165
23,15142,591,195,686,491,866,206,266,212,186,134,515,363,286,485,124,111,232,122,267,245,352,199,7454,125,29855
24,10761,433,148,559,330,573,171,247,187,93,91,307,188,128,227,115,85,156,62,135,136,162,115,115,5231,20755
