stem,ours_0,ours_1,ours_2,ours_3,ours_4,ours_5,ours_6,ours_7,ours_8,ours_9,ours_10,ours_11,ours_12,ours_13,ours_14,ours_15,ours_16,ours_17,ours_18,ours_19,ours_20,ours_21,ours_22,ours_23,ours_24,auth_0,auth_1,auth_2,auth_3,auth_4,auth_5,auth_6,auth_7,auth_8,auth_9,auth_10,auth_11,auth_12,auth_13,auth_14,auth_15,auth_16,auth_17,auth_18,auth_19,auth_20,auth_21,auth_22,auth_23,auth_24,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta_14,delta_15,delta_16,delta_17,delta_18,delta_19,delta_20,delta_21,delta_22,delta_23,delta_24
00000005,12,0,0,9,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,11,0,0,9,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
00000008,26,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,2,0,24,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,5,0,2,0,2,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00000010,20,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,10,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,10,0,0,0,4,-2,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0
00000015,27,0,0,0,3,0,3,0,0,2,0,5,9,0,6,0,0,1,0,0,0,0,0,0,0,23,0,0,0,3,0,4,0,0,3,0,5,10,0,7,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0
00000017,20,3,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,2,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00000021,25,3,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,24,3,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00000022,26,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,24,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00000023,10,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
00000025,16,0,0,0,0,0,0,2,1,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,1,14,0,0,0,0,0,0,3,2,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,1,2,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00000027,21,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,6,0,0,19,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0
