stem,ours_lbl_0,ours_lbl_1,ours_lbl_2,ours_lbl_3,ours_lbl_4,ours_lbl_5,ours_lbl_6,ours_lbl_7,ours_lbl_8,ours_lbl_9,ours_lbl_10,ours_lbl_11,ours_lbl_12,ours_lbl_13,ours_lbl_14,ours_lbl_16,ours_lbl_17,ours_lbl_18,ours_lbl_19,ours_lbl_20,ours_lbl_21,ours_lbl_22,ours_lbl_23,ours_lbl_24,auth_lbl_0,auth_lbl_1,auth_lbl_2,auth_lbl_3,auth_lbl_4,auth_lbl_5,auth_lbl_6,auth_lbl_7,auth_lbl_8,auth_lbl_9,auth_lbl_10,auth_lbl_11,auth_lbl_12,auth_lbl_13,auth_lbl_14,auth_lbl_16,auth_lbl_17,auth_lbl_18,auth_lbl_19,auth_lbl_20,auth_lbl_21,auth_lbl_22,auth_lbl_23,auth_lbl_24
00000001,16,0,0,0,0,0,0,0,0,2,2,0,0,0,19,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,3,4,0,0,0,21,0,0,0,0,0,0,0,0,0
00000002,14,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00000009,17,0,0,0,0,0,2,0,1,0,0,0,0,12,0,0,0,0,0,0,5,0,0,0,12,0,0,0,0,0,2,0,2,0,0,0,0,16,0,0,0,0,0,0,5,0,0,0
00000012,11,2,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,10,3,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0
00000013,25,0,0,5,9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,21,0,0,5,13,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0
00000014,19,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,18,0,0,0,3,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0
00000020,13,0,2,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0
00000039,15,3,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,13,3,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
00000055,5,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,4,0
00000059,17,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,7,4,0,0,0,2,0,16,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,7,4,0,0,0,2,0
00000063,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
