file_stem,n_faces,face_any_disagree,face_label_disagree,face_label_err_rate,face_any_err_rate,n_edges,edge_any_disagree,edge_any_err_rate
00059640,56,56,52,0.9285714285714286,1.0,294,206,0.7006802721088435
00043818,51,51,50,0.9803921568627451,1.0,262,140,0.5343511450381679
00097610,56,55,50,0.8928571428571429,0.9821428571428571,300,180,0.6
00035845,73,69,49,0.6712328767123288,0.9452054794520548,366,210,0.5737704918032787
00036727,68,67,49,0.7205882352941176,0.9852941176470589,346,154,0.44508670520231214
00084386,53,52,49,0.9245283018867925,0.9811320754716981,282,186,0.6595744680851063
00059251,62,59,48,0.7741935483870968,0.9516129032258065,320,147,0.459375
00073888,59,55,48,0.8135593220338984,0.9322033898305084,322,172,0.5341614906832298
00026172,55,53,47,0.8545454545454545,0.9636363636363636,296,142,0.4797297297297297
00062639,59,55,47,0.7966101694915254,0.9322033898305084,326,188,0.5766871165644172
00079191,58,54,47,0.8103448275862069,0.9310344827586207,314,188,0.5987261146496815
00084004,62,62,47,0.7580645161290323,1.0,310,202,0.6516129032258065
00085481,56,55,47,0.8392857142857143,0.9821428571428571,294,150,0.5102040816326531
00058757,52,51,46,0.8846153846153846,0.9807692307692307,280,132,0.4714285714285714
00065681,65,60,46,0.7076923076923077,0.9230769230769231,344,198,0.5755813953488372
00079684,53,52,46,0.8679245283018868,0.9811320754716981,286,122,0.42657342657342656
00081567,57,55,46,0.8070175438596491,0.9649122807017544,288,144,0.5
00092263,57,56,46,0.8070175438596491,0.9824561403508771,314,172,0.5477707006369427
00024675,53,51,45,0.8490566037735849,0.9622641509433962,274,164,0.5985401459854015
00030871,60,59,45,0.75,0.9833333333333333,326,206,0.6319018404907976
00031670,53,53,45,0.8490566037735849,1.0,284,150,0.528169014084507
00031754,57,57,45,0.7894736842105263,1.0,300,148,0.49333333333333335
00031795,60,57,45,0.75,0.95,332,140,0.42168674698795183
00035774,51,51,45,0.8823529411764706,1.0,274,143,0.5218978102189781
00039497,58,56,45,0.7758620689655172,0.9655172413793104,326,106,0.32515337423312884
00057302,73,69,45,0.6164383561643836,0.9452054794520548,374,222,0.5935828877005348
00058951,47,47,45,0.9574468085106383,1.0,256,138,0.5390625
00060582,64,60,45,0.703125,0.9375,328,168,0.5121951219512195
00062648,55,53,45,0.8181818181818182,0.9636363636363636,288,150,0.5208333333333334
00064903,62,60,45,0.7258064516129032,0.967741935483871,326,155,0.4754601226993865
00067071,52,50,45,0.8653846153846154,0.9615384615384616,282,166,0.5886524822695035
00076439,62,59,45,0.7258064516129032,0.9516129032258065,332,188,0.5662650602409639
00082359,53,52,45,0.8490566037735849,0.9811320754716981,266,148,0.556390977443609
00094709,49,48,45,0.9183673469387755,0.9795918367346939,248,154,0.6209677419354839
00094865,56,53,45,0.8035714285714286,0.9464285714285714,292,155,0.5308219178082192
00029986,50,48,44,0.88,0.96,260,151,0.5807692307692308
00040979,51,50,44,0.8627450980392157,0.9803921568627451,276,101,0.36594202898550726
00041229,53,50,44,0.8301886792452831,0.9433962264150944,264,100,0.3787878787878788
00050361,55,53,44,0.8,0.9636363636363636,290,136,0.4689655172413793
00050435,46,46,44,0.9565217391304348,1.0,252,146,0.5793650793650794
00056032,54,54,44,0.8148148148148148,1.0,280,168,0.6
00074835,56,54,44,0.7857142857142857,0.9642857142857143,302,172,0.5695364238410596
00077062,59,58,44,0.7457627118644068,0.9830508474576272,314,148,0.4713375796178344
00085723,48,46,44,0.9166666666666666,0.9583333333333334,250,162,0.648
00091626,63,58,44,0.6984126984126984,0.9206349206349206,334,204,0.6107784431137725
00092441,63,58,44,0.6984126984126984,0.9206349206349206,348,130,0.3735632183908046
00026350,59,56,43,0.7288135593220338,0.9491525423728814,284,178,0.6267605633802817
00031735,53,53,43,0.8113207547169812,1.0,226,178,0.7876106194690266
00033541,44,43,43,0.9772727272727273,0.9772727272727273,228,114,0.5
00034670,52,50,43,0.8269230769230769,0.9615384615384616,284,172,0.6056338028169014
